U93097: N27307, N22816, N31373, N64273, N49279, N9368, N43955, N18063, N23938, N35671, N26485, N5886, N58264, N52492, N1575, N811, N51867, N26057, N10612, N16461
U46994: N52973, N22816, N37666, N35671, N48740, N43955, N9368, N18063, N811, N64273, N52835, N58264, N47020, N36416, N52492, N1575, N10612, N51867, N26057, N16461
U20897: N27307, N22816, N811, N35671, N26485, N18972, N46162, N58264, N938, N36416, N64273, N13374, N52492, N1575, N8889, N35725, N51867, N10612, N26057, N16461
U61: N48740, N64273, N52973, N22816, N811, N58264, N53572, N46162, N27307, N57189, N37666, N43955, N28324, N36416, N52492, N1575, N35725, N51867, N26057, N16461
U78643: N52973, N22816, N811, N35671, N48740, N54562, N46162, N58264, N11551, N37666, N64273, N47020, N23938, N52492, N1575, N46783, N51867, N26057, N35725, N16461
U86428: N52973, N22816, N811, N52103, N48740, N26262, N53572, N11551, N31373, N35671, N43955, N36416, N64273, N58264, N52492, N1575, N51867, N26057, N35725, N16461
U22339: N48740, N35671, N52973, N22816, N37666, N43955, N53572, N46162, N27307, N64273, N811, N58264, N57189, N36416, N2994, N52492, N1575, N51867, N26057, N16461
U89992: N48740, N52973, N811, N35671, N54562, N58264, N53572, N46162, N27307, N37666, N64273, N43955, N52835, N36416, N52492, N1575, N8889, N51867, N26057, N16461
U78432: N35671, N52973, N47020, N22816, N48740, N43955, N46162, N64273, N9368, N37666, N52835, N58264, N57189, N811, N23938, N52492, N1575, N51867, N1091, N16461
U70184: N27307, N35671, N52973, N22816, N37666, N53572, N43955, N46162, N52835, N64273, N811, N26485, N58264, N57189, N31373, N52492, N1575, N51867, N26057, N16461
U48182: N52973, N37666, N35671, N48740, N26262, N49279, N9368, N811, N64273, N43955, N5886, N47020, N58264, N36416, N52492, N1575, N51867, N26057, N10612, N16461
U15639: N48740, N35671, N52973, N22816, N811, N58264, N46162, N27307, N64273, N37666, N43955, N57189, N47020, N2994, N36416, N52492, N1575, N51867, N7173, N16461
U46409: N52973, N811, N35671, N48740, N26485, N26262, N9368, N37666, N64273, N52835, N43955, N47020, N58264, N36416, N52492, N1575, N51867, N26057, N10612, N16461
U82412: N52973, N811, N64273, N48740, N43955, N53572, N46162, N9368, N23938, N35671, N23446, N58264, N31373, N2994, N52492, N1575, N8889, N51867, N26057, N16461
U37981: N27307, N52973, N22816, N37666, N35671, N54562, N58264, N46162, N52835, N9368, N811, N64273, N43955, N47020, N52492, N1575, N677, N51867, N26057, N16461
U2638: N35671, N52973, N811, N48740, N53572, N383, N43955, N18063, N46162, N57189, N37666, N52835, N26485, N2994, N13374, N35725, N46783, N16461, N7173, N42196
U76083: N48740, N52973, N22816, N811, N35671, N58264, N28324, N46162, N27307, N37666, N64273, N43955, N47020, N36416, N52492, N1575, N8889, N35725, N7173, N16461
U78702: N48740, N52973, N22816, N23938, N35671, N43955, N53572, N27307, N938, N36416, N64273, N58264, N52835, N18063, N52492, N11551, N1575, N51867, N26057, N16461
U8591: N35671, N52973, N22816, N811, N48740, N26485, N43955, N64273, N36416, N52835, N53572, N6056, N57189, N31373, N52492, N1575, N51867, N26057, N10612, N16461
