U10008: N23864, N11556, N59814, N10335, N46263, N18485, N25669, N31212, N11931, N59044, N29226, N21077, N33670, N3216, N40156, N22363, N61466, N47872, N6712, N23244
U10012: N32918, N35447, N2492, N11436, N53072, N35957, N45734, N34679, N27361, N3160, N6670, N11217, N17234, N29087, N44853, N46214, N38898, N16680, N37326, N63007
U10044: N22456, N16914, N29124, N14132, N18794, N38390, N15748, N53332, N4644, N23508, N18865, N44746, N62341, N28785, N47734, N30888, N12843, N7990, N47198, N51858
U10045: N32918, N35447, N2492, N11436, N53072, N35957, N45734, N34679, N27361, N3160, N6670, N11217, N17234, N29087, N44853, N46214, N38898, N16680, N37326, N63007
U10050: N23864, N11556, N59814, N10335, N46263, N18485, N25669, N31212, N11931, N59044, N29226, N21077, N33670, N3216, N40156, N22363, N61466, N47872, N6712, N23244
U10061: N32918, N35447, N2492, N11436, N53072, N35957, N45734, N34679, N27361, N3160, N6670, N11217, N17234, N29087, N44853, N46214, N38898, N16680, N37326, N63007
U10062: N23864, N11556, N59814, N10335, N46263, N18485, N25669, N31212, N11931, N59044, N29226, N21077, N33670, N3216, N40156, N22363, N61466, N47872, N6712, N23244
U10063: N22456, N16914, N29124, N14132, N18794, N38390, N15748, N53332, N4644, N23508, N18865, N44746, N62341, N28785, N47734, N30888, N12843, N7990, N47198, N51858
U10065: N32918, N35447, N2492, N11436, N53072, N35957, N45734, N34679, N27361, N3160, N6670, N11217, N17234, N29087, N44853, N46214, N38898, N16680, N37326, N63007
U10075: N32918, N35447, N2492, N11436, N53072, N35957, N45734, N34679, N27361, N3160, N6670, N11217, N17234, N29087, N44853, N46214, N38898, N16680, N37326, N63007
U10086: N32918, N35447, N2492, N11436, N53072, N35957, N45734, N34679, N27361, N3160, N6670, N11217, N17234, N29087, N44853, N46214, N38898, N16680, N37326, N63007
U10103: N23864, N11556, N59814, N10335, N46263, N18485, N25669, N31212, N11931, N59044, N29226, N21077, N33670, N3216, N40156, N22363, N61466, N47872, N6712, N23244
U10133: N23864, N11556, N59814, N10335, N46263, N18485, N25669, N31212, N11931, N59044, N29226, N21077, N33670, N3216, N40156, N22363, N61466, N47872, N6712, N23244
U10152: N32918, N35447, N2492, N11436, N53072, N35957, N45734, N34679, N27361, N3160, N6670, N11217, N17234, N29087, N44853, N46214, N38898, N16680, N37326, N63007
U1017: N22456, N16914, N29124, N14132, N18794, N38390, N15748, N53332, N4644, N23508, N18865, N44746, N62341, N28785, N47734, N30888, N12843, N7990, N47198, N51858
U10182: N22456, N16914, N29124, N14132, N18794, N38390, N15748, N53332, N4644, N23508, N18865, N44746, N62341, N28785, N47734, N30888, N12843, N7990, N47198, N51858
U10185: N32918, N35447, N2492, N11436, N53072, N35957, N45734, N34679, N27361, N3160, N6670, N11217, N17234, N29087, N44853, N46214, N38898, N16680, N37326, N63007
U1019: N32918, N35447, N2492, N11436, N53072, N35957, N45734, N34679, N27361, N3160, N6670, N11217, N17234, N29087, N44853, N46214, N38898, N16680, N37326, N63007
U10191: N32918, N35447, N2492, N11436, N53072, N35957, N45734, N34679, N27361, N3160, N6670, N11217, N17234, N29087, N44853, N46214, N38898, N16680, N37326, N63007
U10195: N32918, N35447, N2492, N11436, N53072, N35957, N45734, N34679, N27361, N3160, N6670, N11217, N17234, N29087, N44853, N46214, N38898, N16680, N37326, N63007
U10201: N23864, N11556, N59814, N10335, N46263, N18485, N25669, N31212, N11931, N59044, N29226, N21077, N33670, N3216, N40156, N22363, N61466, N47872, N6712, N23244
U10218: N32918, N35447, N2492, N11436, N53072, N35957, N45734, N34679, N27361, N3160, N6670, N11217, N17234, N29087, N44853, N46214, N38898, N16680, N37326, N63007
U10233: N32918, N35447, N2492, N11436, N53072, N35957, N45734, N34679, N27361, N3160, N6670, N11217, N17234, N29087, N44853, N46214, N38898, N16680, N37326, N63007
U10239: N32918, N35447, N2492, N11436, N53072, N35957, N45734, N34679, N27361, N3160, N6670, N11217, N17234, N29087, N44853, N46214, N38898, N16680, N37326, N63007
U10259: N32918, N35447, N2492, N11436, N53072, N35957, N45734, N34679, N27361, N3160, N6670, N11217, N17234, N29087, N44853, N46214, N38898, N16680, N37326, N63007
U10265: N23864, N11556, N59814, N10335, N46263, N18485, N25669, N31212, N11931, N59044, N29226, N21077, N33670, N3216, N40156, N22363, N61466, N47872, N6712, N23244
U10285: N22456, N16914, N29124, N14132, N18794, N38390, N15748, N53332, N4644, N23508, N18865, N44746, N62341, N28785, N47734, N30888, N12843, N7990, N47198, N51858
U10296: N22456, N16914, N29124, N14132, N18794, N38390, N15748, N53332, N4644, N23508, N18865, N44746, N62341, N28785, N47734, N30888, N12843, N7990, N47198, N51858
U1030: N22456, N16914, N29124, N14132, N18794, N38390, N15748, N53332, N4644, N23508, N18865, N44746, N62341, N28785, N47734, N30888, N12843, N7990, N47198, N51858
U10306: N32918, N35447, N2492, N11436, N53072, N35957, N45734, N34679, N27361, N3160, N6670, N11217, N17234, N29087, N44853, N46214, N38898, N16680, N37326, N63007
U10311: N22456, N16914, N29124, N14132, N18794, N38390, N15748, N53332, N4644, N23508, N18865, N44746, N62341, N28785, N47734, N30888, N12843, N7990, N47198, N51858
U10332: N22456, N16914, N29124, N14132, N18794, N38390, N15748, N53332, N4644, N23508, N18865, N44746, N62341, N28785, N47734, N30888, N12843, N7990, N47198, N51858
U10338: N22456, N16914, N29124, N14132, N18794, N38390, N15748, N53332, N4644, N23508, N18865, N44746, N62341, N28785, N47734, N30888, N12843, N7990, N47198, N51858
