U10008: N16081, N11645, N35495, N27055, N28275, N3996, N34344, N3132, N46396, N44789, N28103, N41258, N18236, N49712, N24275, N31893, N22417, N20270, N38488, N3059
U10012: N15435, N3303, N38620, N17201, N55913, N11768, N50924, N44698, N45023, N21196, N94, N45551, N16445, N33630, N44183, N16271, N12608, N23535, N7094, N46283
U10044: N54867, N47370, N51793, N16851, N47216, N60750, N5949, N41881, N46393, N27545, N47704, N1336, N24435, N35676, N15838, N37125, N45466, N23513, N41176, N19694
U10045: N14170, N58054, N62318, N35671, N46624, N31373, N47216, N27891, N48077, N23807, N54867, N8344, N64184, N35051, N56133, N17153, N53373, N31782, N26091, N13573
U10050: N19661, N46917, N9284, N56051, N18708, N49180, N26286, N24509, N13498, N54426, N59960, N42196, N10812, N20764, N20576, N23824, N24686, N9047, N28908, N46037
U10061: N38550, N60750, N3763, N22908, N51287, N41881, N42803, N49279, N30207, N47370, N61429, N14535, N27532, N15838, N23792, N14370, N50924, N24435, N18828, N58617
U10062: N32567, N53013, N25064, N30290, N47280, N20576, N59833, N19685, N31212, N8733, N28496, N16439, N4689, N7129, N47094, N19998, N27318, N36673, N50060, N38869
U10063: N20746, N23394, N32647, N23814, N15043, N57081, N16120, N5435, N9806, N11817, N49919, N21186, N29930, N43269, N41176, N40109, N40852, N30598, N31341, N48291
U10065: N6706, N58054, N35051, N25444, N3726, N38578, N63656, N47151, N15574, N38215, N9047, N44528, N60577, N52728, N37157, N46612, N62128, N652, N60592, N25406
U10075: N57032, N39814, N16804, N9928, N16549, N62391, N20378, N30253, N52284, N44528, N47280, N14132, N1887, N9368, N38070, N55488, N53084, N39890, N36931, N50404
U10086: N10250, N6056, N6837, N22029, N5897, N62621, N62532, N43227, N63259, N4505, N56716, N25064, N37142, N29830, N15469, N27376, N16447, N48476, N9340, N57426
U10103: N13930, N20729, N9991, N53955, N61404, N31154, N6706, N30553, N54867, N18151, N15369, N57354, N16138, N51954, N23513, N41717, N59602, N45958, N23394, N6102
U10133: N16138, N34004, N55421, N1660, N63647, N43053, N52129, N48894, N64794, N22855, N38029, N62988, N7674, N39853, N44394, N21484, N54912, N54000, N15194, N61952
U10152: N39184, N9724, N64794, N63334, N26781, N43568, N22977, N53635, N14266, N46304, N14808, N23955, N8214, N4290, N57484, N3279, N40451, N30840, N2904, N2995
U1017: N409, N57764, N103, N28324, N9047, N6056, N1952, N64801, N23176, N49955, N38267, N54, N4663, N29517, N6916, N59186, N61760, N24429, N60868, N56665
U10182: N23394, N58656, N56051, N9284, N41165, N23767, N48841, N52662, N59933, N45912, N15628, N54571, N23824, N29830, N20025, N58553, N50107, N39683, N48487, N7121
U10185: N53877, N47370, N20729, N65021, N38490, N32533, N21508, N40808, N12043, N15043, N6890, N50924, N38029, N62777, N5435, N63580, N19444, N19477, N60750, N14370
U1019: N55723, N38294, N64228, N43386, N20614, N4936, N12523, N21719, N22483, N42846, N46923, N63421, N59981, N32702, N53862, N41950, N6664, N48350, N57734, N55555
U10191: N58264, N63550, N22036, N58660, N44698, N62700, N7757, N53304, N9284, N56051, N49510, N59933, N25457, N55931, N24007, N47627, N5822, N30105, N62921, N35725
U10195: N30099, N6522, N48824, N53515, N36624, N33240, N13556, N32145, N60939, N7462, N54000, N26271, N11622, N62252, N47020, N36795, N18729, N24320, N61230, N28179
U10201: N17289, N47087, N21484, N53350, N279, N16713, N45416, N2277, N6916, N50775, N33507, N48146, N19477, N53013, N41165, N38952, N59142, N21128, N21375, N16081
U10218: N41717, N1228, N36351, N22417, N62391, N4021, N49252, N34915, N50484, N30648, N16138, N37310, N35406, N52502, N10350, N33791, N22891, N36436, N46393, N6837
U10233: N23513, N29364, N37437, N28132, N32257, N52447, N15269, N35094, N41917, N64095, N11360, N15043, N35861, N16260, N42796, N5940, N35216, N62049, N39442, N19661
U10239: N26537, N19811, N55943, N16616, N41174, N27318, N3380, N6532, N18145, N47190, N1575, N53013, N61472, N52098, N25992, N47380, N48084, N56456, N21063, N60531
U10259: N14370, N38263, N48593, N6578, N47370, N18828, N9276, N50924, N32533, N49335, N21508, N10616, N15043, N28962, N65216, N37577, N59263, N58264, N53349, N22816
U10265: N33123, N11846, N8559, N23816, N60750, N21539, N64184, N49554, N63309, N30290, N45779, N53587, N46612, N42635, N58054, N26213, N21375, N55977, N6578, N60975
U10285: N41549, N50312, N11681, N30253, N23184, N31630, N43386, N50588, N53174, N9621, N9139, N34925, N62358, N43460, N13408, N30717, N41910, N4663, N38620, N22061
U10296: N63174, N26262, N59385, N5048, N49180, N48350, N61811, N1660, N48487, N56051, N39853, N12082, N58054, N54912, N21436, N15811, N4404, N43053, N42457, N21519
U1030: N60647, N46736, N49279, N8618, N12029, N59142, N17647, N39184, N53346, N23644, N50946, N63415, N1170, N25064, N27932, N63084, N4700, N24608, N36288, N28477
U10306: N19990, N15194, N19013, N14436, N14370, N41176, N36414, N60647, N49872, N23942, N18828, N30290, N4700, N20479, N49634, N6578, N23814, N21654, N29229, N18423
U10311: N41113, N36414, N15574, N15435, N31154, N44183, N30049, N16844, N60272, N45023, N21428, N28307, N62744, N33123, N3234, N3089, N30251, N17201, N34525, N30658
U10332: N61740, N19694, N31519, N14744, N39919, N52138, N41817, N4729, N46393, N16851, N27545, N15477, N28408, N39463, N37125, N41946, N11627, N54867, N55633, N24894
U10338: N25471, N59602, N58054, N45912, N35389, N47216, N41934, N63647, N15838, N7121, N7754, N23373, N23955, N33677, N36612, N20929, N46446, N11627, N25657, N36940
U10404: N23394, N3745, N27869, N12682, N7670, N11551, N58693, N1790, N23675, N62632, N15817, N50775, N10993, N6645, N3506, N13981, N59423, N44772, N15435, N47433
U1045: N47412, N28987, N4510, N45523, N59149, N46992, N64858, N30108, N62633, N39184, N12869, N34736, N19592, N5288, N53304, N28413, N802, N22825, N43102, N12910
U10450: N25605, N22417, N37204, N28800, N60550, N43106, N37157, N37326, N18644, N3589, N48487, N51553, N53242, N5051, N60647, N64606, N8618, N34480, N53346, N63415
U10451: N41493, N17605, N49712, N52308, N32053, N11931, N48730, N56711, N62777, N21310, N42670, N15065, N43115, N56681, N14194, N32038, N41174, N40109, N422, N12831
U10455: N33005, N36931, N41717, N41698, N51587, N14370, N52502, N61233, N51954, N32005, N10616, N58264, N58660, N44460, N5048, N14104, N16138, N56278, N22457, N9276
U10474: N30689, N61241, N34185, N33297, N19661, N18032, N20688, N28129, N24272, N49046, N32567, N23955, N4021, N32759, N29490, N59385, N33828, N8711, N4119, N25015
U10478: N8559, N62128, N17193, N21310, N14808, N39184, N23816, N53346, N11627, N4025, N16844, N6739, N36293, N10472, N1228, N57484, N46304, N4642, N63415, N49197
U10482: N32533, N43386, N4663, N29491, N35495, N55544, N63309, N21508, N44460, N14699, N18010, N41714, N19415, N41627, N57354, N19996, N13337, N17252, N36134, N3737
U10491: N11645, N14370, N46396, N18828, N37688, N2822, N45576, N31893, N5881, N19990, N16806, N44789, N61296, N47938, N27499, N37381, N18423, N31954, N14194, N37553
U10507: N20838, N25657, N32290, N46446, N47216, N1336, N13107, N29379, N51793, N28408, N19694, N27545, N27020, N54867, N55633, N52138, N37125, N23513, N23373, N11627
U10516: N58264, N35486, N40324, N17031, N26262, N60550, N13439, N7757, N39949, N6706, N35051, N62700, N16260, N16844, N60192, N20331, N26220, N48224, N42478, N41122
U10524: N47370, N60750, N62128, N57354, N61952, N45466, N35392, N44516, N28072, N65216, N58030, N4729, N28477, N51793, N43738, N5822, N14523, N60900, N27545, N11817
U1053: N14699, N42678, N14181, N11572, N23616, N58969, N58212, N21885, N25165, N14270, N45455, N16439, N32776, N32533, N21508, N41881, N41365, N46193, N57484, N41640
U10585: N25639, N24435, N10250, N23563, N60750, N1539, N46396, N32053, N46887, N49712, N6066, N11193, N47938, N35147, N8373, N55913, N54862, N24832, N55259, N29036
U10604: N55633, N29379, N58660, N41596, N49279, N15838, N28800, N57359, N45017, N24435, N14780, N60750, N23730, N30105, N8361, N23513, N10786, N30870, N51793, N64515
U10611: N54911, N2844, N6066, N27932, N740, N13601, N64269, N38333, N36638, N15807, N60750, N6916, N54, N55176, N17261, N60221, N55518, N44487, N25966, N36914
U10635: N15234, N16777, N13604, N61811, N57403, N36545, N17599, N56051, N58345, N23767, N9284, N50060, N36612, N24608, N1019, N36914, N19661, N41176, N28477, N6761
U10674: N19661, N25605, N27342, N402, N14964, N60647, N39184, N48403, N15982, N28477, N27307, N24608, N53599, N8214, N19584, N35951, N22977, N25325, N41006, N36779
