U10008: N34344, N31893, N6873, N17073, N52764, N37629, N32626, N37688, N30630, N33792, N44789, N34397, N3996, N11645, N52502, N19013, N19815, N24275, N3997, N27499
U10012: N9997, N14266, N33147, N28565, N13599, N51800, N51797, N11036, N63390, N36931, N32188, N35370, N23535, N57104, N24007, N11768, N3303, N14154, N61532, N59375
U10044: N39456, N59863, N47370, N65216, N1228, N40591, N49328, N60750, N53206, N53452, N17444, N20478, N4485, N53877, N37673, N32556, N21539, N43053, N51995, N22417
U10045: N24894, N40656, N58054, N51895, N19694, N28150, N11771, N2825, N28307, N57733, N19623, N28408, N19611, N57546, N37122, N12082, N37125, N27891, N38718, N2636
U10050: N27979, N41881, N30481, N50006, N59213, N42890, N5513, N56133, N6400, N48187, N55059, N53069, N39601, N9118, N47380, N57733, N10840, N60421, N61233, N740
U10061: N43772, N34973, N60421, N33677, N38333, N49834, N4637, N42328, N44847, N38779, N23792, N42433, N25064, N60343, N40886, N51745, N61593, N15477, N28466, N33439
U10062: N2551, N30572, N17599, N36480, N48663, N45323, N40268, N53013, N37587, N45523, N59367, N47380, N29009, N16777, N50166, N33831, N50054, N35418, N23176, N22042
U10063: N59732, N25064, N62044, N32427, N17908, N18118, N4404, N46219, N63481, N6390, N60750, N39586, N14049, N1692, N63647, N8267, N33469, N9538, N11019, N6477
U10065: N48884, N54238, N57332, N12812, N54401, N32649, N61230, N32870, N20394, N4384, N19611, N14511, N4500, N60812, N40329, N33828, N23814, N8709, N19542, N34382
U10075: N16804, N11363, N24532, N39814, N14597, N7600, N51745, N38924, N21375, N7092, N22825, N20545, N52284, N9000, N36796, N20378, N31448, N366, N60018, N21200
U10086: N18850, N26595, N33469, N46236, N48740, N27289, N28884, N4247, N37994, N15315, N26213, N49607, N5288, N15855, N28861, N17973, N47412, N27110, N52102, N33311
U10103: N41697, N27063, N34344, N23809, N47803, N29611, N773, N51954, N24675, N45888, N57367, N62621, N51185, N48740, N16126, N18151, N44556, N43083, N11269, N40943
U10133: N39184, N7674, N62880, N31373, N61567, N27945, N39853, N39883, N28203, N39919, N2904, N6916, N22301, N48894, N23144, N53122, N7007, N19632, N27020, N30372
U10152: N26811, N41670, N485, N39346, N63415, N53635, N4290, N6739, N63828, N51239, N21931, N22722, N31632, N21950, N40119, N63334, N10472, N29125, N27020, N61532
U1017: N28805, N1952, N31448, N16431, N49104, N36243, N6171, N34925, N46342, N42894, N40152, N44528, N61053, N3920, N49364, N45462, N14605, N54326, N24386, N49879
U10182: N49001, N12029, N11930, N20776, N58553, N33120, N47087, N36249, N7092, N57764, N44249, N22036, N56051, N48487, N61811, N23767, N49955, N34130, N59933, N18850
U10185: N17647, N20136, N1495, N48084, N48077, N20056, N58693, N2006, N20072, N31849, N14829, N14878, N47938, N47906, N5881, N14871, N3506, N58848, N58617, N58612
U1019: N11627, N28539, N62355, N21719, N38294, N32290, N5913, N50055, N12156, N8347, N56313, N8344, N45666, N51570, N27545, N21679, N20614, N32639, N60848, N4637
U10191: N51587, N15269, N57560, N56051, N40493, N15194, N51954, N49510, N49180, N23195, N58264, N38498, N56194, N38142, N19444, N58562, N6935, N6787, N7010, N39586
U10195: N52286, N7568, N40326, N10541, N57367, N47094, N51009, N10522, N47020, N2636, N40591, N30933, N53113, N39456, N26762, N40331, N8344, N15959, N26199, N59189
U10201: N21313, N42196, N62170, N41717, N16445, N41979, N16396, N42076, N4215, N62049, N11771, N42223, N17957, N42334, N4253, N42622, N61973, N61951, N42678, N42796
U10218: N30606, N17115, N48597, N37531, N30544, N62920, N7094, N36931, N8137, N5197, N7600, N64305, N1105, N57821, N37261, N62128, N43574, N60686, N45625, N40299
U10233: N61754, N49586, N47576, N24435, N22061, N10544, N51104, N47683, N47712, N23675, N54315, N33507, N11569, N1567, N40906, N3589, N51185, N33623, N4247, N17973
U10239: N62049, N10541, N48084, N11289, N29772, N30536, N21513, N53986, N28539, N52742, N24062, N56471, N60531, N7634, N43772, N41675, N5370, N33877, N34031, N11015
U10259: N20015, N51195, N36910, N5655, N26518, N42158, N32531, N38080, N5009, N3678, N23460, N20372, N59814, N56620, N42180, N17681, N36252, N33738, N6555, N30648
U10265: N60520, N50023, N56645, N26330, N5009, N677, N46738, N46624, N24017, N2636, N39219, N34400, N46592, N46501, N11652, N23928, N56569, N34218, N34185, N20215
U10285: N60447, N11600, N57011, N20577, N48533, N25163, N38404, N8373, N4661, N15336, N15305, N4663, N15066, N48146, N47938, N36178, N3075, N42590, N57675, N30668
U10296: N22457, N11460, N61811, N46703, N49180, N9284, N26485, N63174, N10812, N23767, N56051, N1019, N50004, N11864, N42457, N51120, N57713, N62065, N55347, N15942
U1030: N46624, N39688, N2041, N61571, N2986, N29862, N1180, N20400, N61532, N2989, N29892, N1185, N14104, N17084, N53223, N1410, N17513, N17522, N61404, N20333
U10306: N37994, N62809, N11769, N50054, N50060, N53223, N35430, N15194, N10250, N35689, N53296, N9340, N35738, N43222, N22885, N9295, N17513, N2463, N24675, N36414
U10311: N58857, N45509, N14726, N22257, N23816, N17681, N35418, N40194, N56194, N21265, N64273, N46393, N25040, N57344, N42796, N64735, N38239, N55347, N9154, N36232
U10332: N64801, N19694, N55633, N11627, N46034, N40886, N53476, N1450, N1110, N15959, N23513, N52138, N28734, N51793, N41946, N48796, N23176, N15481, N27545, N47712
U10338: N45912, N740, N4404, N36436, N45804, N50167, N31782, N40982, N24358, N7568, N50060, N16851, N3836, N43871, N54593, N62844, N43863, N4884, N27545, N7655
U10404: N46887, N19611, N56569, N47238, N40085, N11771, N46393, N59060, N29036, N32290, N62092, N49053, N1952, N5949, N24435, N52138, N39424, N17768, N43872, N31958
U1045: N9997, N34469, N57821, N34679, N34653, N57888, N34617, N34600, N34525, N34400, N33894, N5798, N34397, N34190, N34187, N34171, N3415, N34048, N34736, N34852
U10450: N25605, N63342, N37204, N16439, N63415, N59142, N5051, N944, N14049, N64095, N22885, N32734, N57521, N4700, N57053, N18118, N19318, N63334, N6382, N14478
U10451: N15051, N32053, N56681, N40085, N51552, N40109, N52308, N14194, N34225, N35067, N30288, N7865, N8012, N48340, N61973, N26286, N17115, N15072, N6406, N4254
U10455: N16854, N9276, N29128, N49929, N32005, N17757, N34930, N16138, N49633, N48593, N2960, N43083, N25323, N7993, N13981, N31893, N19211, N59194, N61754, N35951
U10474: N50463, N48490, N27737, N51745, N15559, N2045, N45734, N4290, N64372, N43568, N53635, N51140, N48717, N40164, N50946, N5854, N50912, N53584, N49046, N23180
U10478: N58612, N43738, N63415, N16035, N9724, N35521, N53635, N485, N20602, N63334, N21310, N13219, N28698, N58660, N63152, N22566, N1170, N21950, N14370, N12218
U10482: N23805, N40184, N11817, N52034, N19117, N20602, N38540, N1952, N42163, N58086, N52202, N42112, N11556, N29229, N59415, N42670, N5088, N11722, N31632, N58308
U10491: N41946, N20270, N61786, N36436, N55518, N55668, N36555, N47938, N22726, N63231, N9360, N21809, N11718, N18324, N30668, N28734, N15959, N24435, N47370, N49328
U10507: N48084, N5553, N6347, N48824, N63481, N41946, N18751, N30553, N13107, N42015, N24190, N58212, N47094, N30207, N59126, N30166, N42249, N35676, N11193, N29772
U10516: N58054, N11083, N6873, N58656, N30374, N6916, N46477, N17031, N58950, N50372, N55123, N9335, N13981, N23935, N26023, N23864, N15772, N47087, N58638, N9135
U10524: N58969, N32255, N57329, N62128, N65216, N60176, N2045, N45953, N14132, N12570, N45466, N9592, N5051, N6471, N19611, N29319, N48403, N29009, N14266, N24779
U1053: N58054, N29126, N50076, N31519, N2636, N49279, N51703, N18751, N977, N45455, N59526, N42328, N29009, N11846, N25286, N42678, N60750, N8733, N62920, N14699
U10585: N57226, N37441, N64275, N53599, N54442, N52484, N51120, N48106, N35861, N33203, N51745, N5874, N17289, N22188, N33469, N35815, N15628, N25064, N49576, N44971
U10604: N62988, N7491, N57706, N32196, N35436, N60750, N49279, N51745, N52294, N54912, N11771, N28640, N57367, N17522, N10901, N42076, N25448, N24435, N33877, N30207
U10611: N34601, N6056, N9047, N33120, N38901, N64515, N46703, N46624, N59685, N52588, N32105, N39620, N31556, N1914, N31395, N39932, N20187, N23513, N7328, N53630
U10635: N49279, N23942, N61811, N48841, N14266, N61532, N4128, N9284, N22855, N15269, N7328, N5652, N22595, N40987, N42249, N63550, N35216, N19661, N6224, N53599
U10674: N8214, N50536, N35951, N48403, N7344, N19661, N22595, N53599, N60663, N41006, N21310, N27307, N64535, N49279, N2573, N7119, N13498, N3437, N55943, N3460
U10700: N61811, N36545, N65134, N34400, N50007, N3415, N633, N51587, N43143, N22036, N51954, N33311, N62921, N32710, N14808, N65027, N36931, N42538, N42457, N44422
U10703: N32139, N30553, N10840, N3421, N51704, N52294, N529, N32053, N53741, N31676, N31556, N22061, N10541, N58171, N30481, N62700, N30288, N18324, N55460, N1186
U10729: N7328, N18708, N8907, N60550, N20770, N6056, N1019, N58656, N46703, N6916, N13165, N1539, N8162, N4857, N16344, N24686, N30345, N3841, N48077, N26262
U10742: N32053, N25620, N44746, N36553, N25064, N7121, N36243, N44971, N33113, N16081, N2704, N15948, N50039, N11768, N33203, N2659, N63480, N14194, N49335, N62700
U10773: N23547, N27737, N31395, N62436, N6051, N22564, N40468, N6477, N42158, N40356, N51008, N4912, N36359, N11762, N51202, N33896, N33012, N7895, N21417, N55673
U10822: N50653, N60658, N52675, N54571, N54752, N54862, N36931, N57754, N1952, N27532, N52438, N37384, N37500, N31868, N6066, N60105, N19542, N27737, N43508, N5370
U1083: N38697, N17031, N57005, N2712, N23490, N13729, N52984, N51937, N6390, N46477, N51897, N1849, N23657, N51745, N56569, N30923, N26199, N25064, N36243, N23942
U10855: N42433, N15043, N8318, N35436, N61233, N46887, N32053, N46969, N39424, N9420, N42845, N36568, N62777, N51793, N57367, N57260, N56681, N8353, N4253, N14194
U10862: N18529, N48849, N26733, N6814, N38779, N18828, N7125, N740, N4642, N57138, N5798, N15194, N38509, N6890, N28112, N48578, N21950, N47704, N53599, N14523
U10866: N26584, N43360, N52492, N25406, N58129, N33877, N26305, N33738, N7928, N12843, N52635, N52742, N57560, N16118, N6463, N16066, N35561, N26518, N57403, N26537
U10868: N60639, N23165, N33611, N52329, N12043, N30466, N23809, N11193, N4610, N8941, N19623, N58527, N60887, N64594, N51418, N11808, N54227, N8746, N5716, N21965
U10906: N25966, N29124, N56897, N26991, N3489, N46146, N46270, N29322, N46336, N14597, N53201, N29125, N27020, N14359, N20400, N20838, N63828, N20901, N20985, N21077
U10909: N20025, N26380, N61541, N55949, N3123, N29892, N39442, N63550, N15811, N23446, N15855, N23165, N57546, N22939, N10812, N22353, N46624, N15234, N48707, N29462
U10910: N14507, N44903, N43438, N33273, N33297, N51690, N41174, N28975, N24017, N27553, N30699, N3356, N12823, N56585, N36416, N29004, N44645, N12613, N41497, N56474
U10928: N48841, N27906, N63962, N16577, N26537, N25406, N49180, N30536, N47712, N23557, N24108, N53242, N8711, N2960, N29217, N6761, N31894, N51008, N22874, N45479
U10936: N12403, N63828, N485, N61532, N4025, N22977, N51239, N5329, N26018, N32000, N21535, N24826, N18793, N29125, N63334, N8327, N4290, N53248, N6739, N22099
U10944: N38733, N46037, N46236, N57244, N11289, N17416, N17228, N41285, N19685, N5940, N35238, N24754, N41548, N9284, N51700, N28203, N51704, N51725, N48215, N37793
U10979: N41817, N61682, N15347, N61973, N8361, N54912, N26330, N8627, N25064, N34973, N46146, N27891, N29494, N29490, N49328, N14993, N6739, N22855, N56313, N59850
U1098: N18032, N3984, N9883, N27327, N60750, N25256, N34062, N55259, N28539, N46377, N34973, N42670, N56075, N55949, N12570, N15072, N29036, N57484, N14266, N49328
U11007: N44516, N43415, N28307, N52102, N43738, N9592, N32734, N64632, N55936, N19611, N31948, N1185, N3173, N24985, N25040, N19292, N6816, N17171, N25605, N54066
U11014: N6814, N14270, N61233, N14857, N7655, N46887, N29364, N57733, N15746, N3313, N14305, N52907, N33469, N41626, N40836, N4384, N64184, N57625, N19611, N43863
U1103: N56051, N23391, N61811, N58553, N9284, N23767, N63174, N63550, N49180, N32268, N5940, N57713, N35216, N20025, N1019, N15269, N37793, N33469, N56969, N14993
U11059: N21310, N52016, N51120, N60663, N2960, N29652, N41069, N2573, N19099, N54830, N7600, N46037, N26649, N38690, N59586, N10651, N59907, N11817, N19477, N11869
U11075: N19050, N23044, N19300, N10544, N25064, N38306, N3415, N33332, N7416, N57625, N1180, N2960, N51897, N52312, N19661, N49279, N27979, N41596, N55237, N51633
U11124: N22353, N5981, N25286, N53219, N23409, N28091, N16461, N19770, N63580, N46407, N23002, N63550, N50586, N12380, N50559, N63509, N46446, N12403, N50536, N46389
U11146: N20819, N22221, N17228, N23603, N36664, N49576, N37463, N36624, N11772, N62128, N47938, N15648, N42890, N2659, N34633, N51700, N5223, N32489, N17936, N59471
U11157: N45953, N14266, N4642, N36480, N41881, N55943, N42361, N53635, N29319, N28072, N18032, N37587, N31884, N40164, N10867, N936, N50713, N45264, N53599, N29009
U11159: N21866, N24435, N57818, N8656, N32344, N48796, N15043, N39620, N43936, N59749, N46034, N1450, N40154, N33493, N15959, N9287, N62939, N57023, N9340, N41626
U11165: N32639, N37577, N36916, N37052, N14104, N28523, N43738, N19013, N10840, N15518, N37391, N53561, N43530, N19036, N2429, N19211, N7568, N43222, N15369, N43083
U11178: N49279, N53599, N27307, N52675, N4047, N32923, N50559, N12570, N17599, N51745, N7092, N5652, N50245, N15234, N55949, N33469, N36612, N59868, N46236, N5610
U11185: N11869, N33, N26649, N44605, N62049, N11974, N46714, N2482, N65021, N27928, N42845, N28738, N59732, N50005, N38029, N39338, N1815, N39679, N22855, N53443
U112: N33212, N3279, N29125, N13827, N46236, N30503, N34953, N33469, N41380, N21535, N22722, N53955, N28855, N27079, N3415, N25605, N16439, N33397, N4107, N53861
U1121: N64469, N56585, N58383, N60599, N43361, N33297, N37272, N45760, N36689, N56211, N34459, N12843, N11092, N19811, N51745, N24017, N41621, N54792, N48302, N20388
U11232: N16081, N21654, N12043, N22257, N47213, N29553, N4644, N1106, N14125, N4059, N33147, N61614, N55132, N23060, N58171, N56681, N43083, N26352, N33611, N50484
U11250: N9997, N44422, N43342, N43460, N43574, N43699, N43936, N44203, N44322, N44476, N43143, N44492, N44528, N44746, N4476, N45017, N4505, N4510, N43227, N43083
U11255: N28816, N58857, N25664, N59060, N25286, N25124, N59543, N59749, N24213, N24017, N60092, N60130, N23824, N60421, N23611, N6051, N23557, N23527, N23165, N23081
U11271: N14780, N63334, N38371, N23838, N31192, N39184, N50657, N16035, N24021, N43738, N58660, N53916, N47712, N5051, N39298, N53122, N37261, N49279, N48578, N51700
U11274: N53916, N24894, N25501, N59960, N28539, N42678, N26614, N56838, N54912, N45095, N9267, N31060, N24190, N54867, N46214, N23730, N63231, N46178, N26199, N10522
U11277: N62358, N59149, N14846, N54398, N24981, N54315, N51745, N28895, N55553, N1180, N12029, N24754, N570, N3415, N49586, N44422, N23814, N64902, N20903, N44203
U11292: N23370, N7328, N30648, N12300, N35389, N30639, N52810, N18118, N43871, N35370, N7443, N60000, N747, N52675, N18098, N25323, N5259, N32393, N64120, N729
U11304: N29892, N36436, N37310, N20711, N20746, N37142, N54988, N62809, N62805, N21156, N21200, N21290, N62692, N55084, N21297, N21310, N55123, N36777, N62610, N21386
U11316: N5450, N43801, N25015, N28129, N42491, N50912, N15489, N53650, N24713, N12769, N16990, N53584, N28855, N4290, N6767, N24213, N42904, N63353, N6638, N56434
U11320: N6347, N44926, N41787, N28983, N28112, N34495, N30562, N53296, N20331, N11217, N36178, N5798, N31978, N50060, N103, N49279, N936, N41594, N28324, N14170
U11324: N10008, N43702, N43871, N43911, N43936, N43984, N14049, N44145, N44166, N44203, N44492, N1394, N44588, N44608, N13907, N44640, N44645, N44648, N13898, N44795
U11340: N36480, N44855, N61817, N8364, N17720, N46624, N46459, N17865, N25999, N34218, N18098, N18118, N46137, N25669, N29354, N45551, N19036, N4510, N34469, N25605
U11341: N23446, N61233, N49279, N56051, N9284, N51745, N28808, N57560, N32053, N23838, N31448, N61811, N48084, N44453, N39974, N33882, N12596, N4254, N6347, N48740
U11344: N18828, N60750, N51745, N1228, N59863, N61682, N47370, N38779, N58054, N42845, N35436, N63481, N796, N16844, N3216, N14726, N38215, N50006, N14523, N36898
U11356: N61588, N3128, N48176, N52662, N43580, N1495, N43871, N1106, N37437, N22348, N50502, N14282, N50404, N35011, N63656, N52484, N4247, N12029, N41717, N32784
U11357: N40326, N28408, N34930, N37437, N54408, N57023, N27869, N11036, N53248, N15347, N4605, N46887, N19444, N24434, N52989, N62532, N41708, N61233, N16138, N38404
U11453: N51364, N7895, N28569, N8687, N36359, N34382, N30283, N63859, N20036, N11770, N33012, N43360, N31005, N1307, N9182, N811, N16118, N25860, N33385, N33469
U11454: N9997, N23517, N23644, N4610, N46261, N46279, N46304, N23557, N46393, N62633, N23513, N4644, N62563, N46446, N46459, N62518, N46477, N46484, N62465, N45986
U11465: N22624, N53599, N39832, N57211, N61595, N42653, N6745, N6209, N14684, N36743, N28861, N21535, N29652, N50536, N35771, N12780, N61190, N36931, N7950, N5165
U11473: N9040, N1952, N15921, N1450, N17522, N30207, N39463, N5037, N39189, N25639, N18151, N25303, N22483, N50658, N53476, N50735, N64508, N25673, N65216, N22099
U11474: N40451, N49279, N62809, N60762, N50302, N29009, N936, N36480, N60176, N26687, N50054, N1371, N53599, N10867, N29319, N4667, N23446, N19998, N22595, N58969
U11489: N7655, N13981, N3128, N50404, N9340, N27532, N22885, N58660, N27327, N49279, N33474, N46279, N30290, N57367, N28496, N15435, N60695, N65021, N53615, N31373
U1150: N21290, N24963, N22885, N4384, N63364, N4510, N1952, N59868, N11565, N38215, N63415, N13568, N29735, N33469, N51745, N8618, N30840, N16733, N61466, N50946
U11506: N23373, N45178, N5519, N64508, N325, N41946, N36673, N60310, N51963, N22117, N20296, N41917, N55392, N6020, N55405, N36840, N32145, N32053, N45950, N51793
U11508: N19661, N19040, N53296, N7344, N3506, N7655, N39242, N22042, N51745, N41651, N44640, N59060, N37420, N55193, N53248, N6578, N24275, N47873, N12570, N22816
U11511: N9997, N28029, N52103, N52138, N2825, N28203, N28150, N28132, N281, N52284, N52286, N28091, N28072, N28043, N52322, N28738, N28019, N52329, N27975, N27945
U11536: N52973, N20036, N22423, N43738, N63859, N12043, N43115, N13763, N23557, N62992, N25406, N27905, N28895, N6142, N40121, N61326, N30309, N57734, N3918, N39094
U11547: N53606, N19682, N29905, N38644, N55281, N19003, N58212, N28643, N31884, N39883, N12570, N57546, N936, N41612, N4290, N62809, N54302, N32381, N23218, N55461
U11552: N30920, N61233, N9719, N46887, N32053, N53484, N22257, N35272, N64634, N38138, N17757, N44967, N33315, N42499, N43115, N16918, N35576, N62212, N51552, N23060
U11556: N3190, N24985, N55198, N29363, N64228, N58264, N35389, N10912, N1952, N46203, N32536, N5897, N42223, N25664, N60221, N9538, N62921, N11771, N54603, N48407
