U10008: N28855, N1508, N44203, N9513, N26139, N35370, N64037, N13930, N59526, N50080, N37629, N34492, N42163, N23855, N4384, N28876, N38924, N24358, N225, N10831
U10012: N11681, N29578, N6916, N20478, N33240, N22731, N9959, N24386, N4107, N26135, N34044, N7965, N19001, N26762, N60105, N63805, N57700, N31939, N7961, N2712
U10044: N23132, N35609, N29722, N46069, N1952, N33056, N37636, N35725, N11803, N35405, N17873, N60092, N57783, N15296, N54439, N53717, N53114, N59415, N11269, N26917
U10045: N52492, N63627, N52286, N584, N26537, N5472, N7799, N27906, N18978, N42433, N39463, N52588, N23657, N5162, N41626, N4107, N20325, N44897, N1952, N3918
U10050: N30288, N60848, N7092, N39456, N3318, N19661, N27110, N40078, N34852, N53113, N9284, N56969, N48703, N5472, N39998, N45319, N5796, N61829, N57957, N63627
U10061: N23513, N9538, N55259, N29036, N34041, N61682, N38131, N60750, N2541, N41946, N10020, N49688, N18253, N54615, N36459, N24375, N40094, N5949, N8375, N51793
U10062: N18975, N42365, N51489, N17720, N51424, N23517, N7119, N56746, N13626, N11961, N4485, N34915, N4119, N39151, N13498, N20056, N27079, N30553, N16396, N22321
U10063: N34055, N30835, N42604, N39814, N43478, N32945, N43872, N17363, N32731, N26343, N35147, N55913, N5822, N1110, N55723, N58969, N42365, N10960, N10566, N7443
U10065: N47151, N44528, N32527, N36416, N1952, N51560, N39796, N49183, N52588, N3918, N23557, N20603, N15492, N11593, N43083, N64037, N29751, N36638, N32854, N34617
U10075: N51187, N17973, N5880, N60222, N43772, N46266, N3279, N38201, N39151, N37142, N48910, N22977, N10879, N5822, N38368, N30135, N40194, N37577, N23502, N36251
U10086: N41387, N483, N23535, N28934, N13288, N42158, N2592, N832, N54966, N26525, N20766, N54066, N23547, N30290, N56966, N64858, N94, N7799, N6051, N18644
U10103: N11083, N3836, N51745, N19292, N5655, N164, N22803, N52675, N60895, N56075, N36394, N44897, N52635, N23955, N51995, N29801, N6224, N5450, N14481, N38166
U10133: N22855, N60300, N11864, N3313, N13887, N9883, N35062, N15066, N34044, N23807, N29917, N18708, N54862, N3256, N48049, N23824, N6816, N63805, N51966, N60105
U10152: N36568, N5897, N584, N8361, N64376, N25685, N5796, N39814, N55123, N40119, N40788, N55633, N63627, N43770, N41979, N43530, N1450, N15559, N46484, N20056
U1017: N2659, N10472, N47213, N39109, N60900, N7819, N14391, N1952, N60222, N62692, N4476, N15072, N16954, N14104, N57260, N18151, N64037, N55279, N13056, N16804
