U77431: N28757, N14285, N29208, N29961, N59814, N32708, N26125, N4760, N33728, N29091, N8889, N37531, N31005, N17252, N61061, N41387, N24619, N64971, N10902, N42112
U10635: N28757, N14285, N29208, N29961, N59814, N32708, N26125, N4760, N33728, N29091, N8889, N37531, N31005, N17252, N61061, N41387, N24619, N64971, N10902, N42112
U4936: N19117, N58527, N50453, N35471, N8353, N55887, N7222, N31395, N39998, N41547, N29511, N37531, N38442, N64543, N3761, N16431, N52520, N2062, N18971, N50757
U50108: N28757, N14285, N29208, N29961, N59814, N32708, N26125, N4760, N33728, N29091, N8889, N37531, N31005, N17252, N61061, N41387, N24619, N64971, N10902, N42112
U10928: N20387, N19019, N7245, N778, N43397, N58345, N38390, N13056, N35405, N50670, N47216, N11511, N35393, N30466, N4936, N19536, N16804, N51793, N53168, N35045
U30232: N37589, N65049, N55036, N29152, N3138, N38442, N47734, N17405, N7466, N62779, N27327, N8657, N27737, N27342, N14478, N59685, N38239, N11675, N12843, N9321
U48412: N28757, N14285, N29208, N29961, N59814, N32708, N26125, N4760, N33728, N29091, N8889, N37531, N31005, N17252, N61061, N41387, N24619, N64971, N10902, N42112
U51355: N19117, N58527, N50453, N35471, N8353, N55887, N7222, N31395, N39998, N41547, N29511, N37531, N38442, N64543, N3761, N16431, N52520, N2062, N18971, N50757
U72712: N49633, N49038, N20386, N15043, N31027, N31053, N39109, N28734, N57764, N3497, N28043, N3234, N26650, N19795, N34090, N56711, N24532, N61162, N19308, N24320
U35919: N28757, N14285, N29208, N29961, N59814, N32708, N26125, N4760, N33728, N29091, N8889, N37531, N31005, N17252, N61061, N41387, N24619, N64971, N10902, N42112
U48627: N49633, N49038, N20386, N15043, N31027, N31053, N39109, N28734, N57764, N3497, N28043, N3234, N26650, N19795, N34090, N56711, N24532, N61162, N19308, N24320
U46765: N37589, N65049, N55036, N29152, N3138, N38442, N47734, N17405, N7466, N62779, N27327, N8657, N27737, N27342, N14478, N59685, N38239, N11675, N12843, N9321
U23073: N20387, N19019, N7245, N778, N43397, N58345, N38390, N13056, N35405, N50670, N47216, N11511, N35393, N30466, N4936, N19536, N16804, N51793, N53168, N35045
U4937: N49633, N49038, N20386, N15043, N31027, N31053, N39109, N28734, N57764, N3497, N28043, N3234, N26650, N19795, N34090, N56711, N24532, N61162, N19308, N24320
U73036: N49633, N49038, N20386, N15043, N31027, N31053, N39109, N28734, N57764, N3497, N28043, N3234, N26650, N19795, N34090, N56711, N24532, N61162, N19308, N24320
U65542: N20387, N19019, N7245, N778, N43397, N58345, N38390, N13056, N35405, N50670, N47216, N11511, N35393, N30466, N4936, N19536, N16804, N51793, N53168, N35045
U61157: N28757, N14285, N29208, N29961, N59814, N32708, N26125, N4760, N33728, N29091, N8889, N37531, N31005, N17252, N61061, N41387, N24619, N64971, N10902, N42112
U45595: N28757, N14285, N29208, N29961, N59814, N32708, N26125, N4760, N33728, N29091, N8889, N37531, N31005, N17252, N61061, N41387, N24619, N64971, N10902, N42112
U60021: N28757, N14285, N29208, N29961, N59814, N32708, N26125, N4760, N33728, N29091, N8889, N37531, N31005, N17252, N61061, N41387, N24619, N64971, N10902, N42112
U31537: N20387, N19019, N7245, N778, N43397, N58345, N38390, N13056, N35405, N50670, N47216, N11511, N35393, N30466, N4936, N19536, N16804, N51793, N53168, N35045
U70853: N37589, N65049, N55036, N29152, N3138, N38442, N47734, N17405, N7466, N62779, N27327, N8657, N27737, N27342, N14478, N59685, N38239, N11675, N12843, N9321
U77917: N20387, N19019, N7245, N778, N43397, N58345, N38390, N13056, N35405, N50670, N47216, N11511, N35393, N30466, N4936, N19536, N16804, N51793, N53168, N35045
U66271: N28757, N14285, N29208, N29961, N59814, N32708, N26125, N4760, N33728, N29091, N8889, N37531, N31005, N17252, N61061, N41387, N24619, N64971, N10902, N42112
U80791: N49633, N49038, N20386, N15043, N31027, N31053, N39109, N28734, N57764, N3497, N28043, N3234, N26650, N19795, N34090, N56711, N24532, N61162, N19308, N24320
U85355: N28757, N14285, N29208, N29961, N59814, N32708, N26125, N4760, N33728, N29091, N8889, N37531, N31005, N17252, N61061, N41387, N24619, N64971, N10902, N42112
