U93097: N1020, N28747, N55347, N7043, N48552, N14736, N32784, N64273, N3417, N1575, N52492, N31373, N23938, N45757, N43528, N9883, N13353, N41004, N44737, N13133
U46994: N4156, N3056, N27376, N39742, N11253, N42846, N8114, N42672, N64613, N44967, N36786, N18375, N5507, N234, N45479, N25428, N20296, N1847, N58965, N31868
U20897: N25334, N61446, N35771, N5377, N7540, N291, N29124, N37531, N239, N12146, N50581, N3426, N13374, N42224, N811, N6281, N59131, N22816, N57244, N383
U61: N50039, N31329, N36408, N46736, N29450, N32833, N61306, N53984, N42666, N962, N55253, N38620, N33469, N9023, N59044, N57783, N48740, N1344, N10388, N52973
U78643: N32527, N49516, N61829, N26649, N7893, N27975, N15001, N23557, N33448, N38835, N21866, N62049, N16628, N32467, N19047, N26652, N52554, N43400, N16126, N44554
U86428: N7757, N52103, N25428, N47683, N23855, N30495, N15285, N57675, N37391, N52069, N44737, N32731, N34130, N2530, N47401, N17757, N53114, N252, N28757, N30105
U22339: N41979, N53634, N7371, N4128, N14252, N63828, N52973, N37666, N6670, N31884, N48740, N57301, N11186, N44528, N53572, N24713, N15568, N383, N32257, N32774
U89992: N832, N24826, N2563, N47119, N9719, N23558, N38381, N53476, N15382, N34238, N14181, N52286, N24832, N59186, N9577, N55673, N24717, N25226, N59189, N11194
U78432: N55226, N54049, N47020, N32073, N40409, N9321, N21063, N57560, N11460, N39932, N26584, N2062, N12999, N20165, N26154, N53756, N50029, N12613, N59003, N58506
U70184: N51104, N22942, N22099, N10123, N65036, N52973, N19387, N37666, N15403, N19669, N58609, N53572, N28060, N811, N50166, N62001, N26485, N4128, N34641, N56545
U48182: N15171, N52635, N29755, N11942, N54911, N34171, N47263, N53686, N29344, N9193, N39974, N28112, N25988, N6171, N46951, N20333, N8709, N7799, N58765, N234
U15639: N59471, N50029, N13964, N50657, N46545, N51848, N20386, N57322, N47646, N64816, N8907, N37666, N811, N47020, N49279, N12024, N58264, N49505, N26485, N677
U46409: N15772, N18865, N26125, N54803, N43975, N18828, N86, N54136, N12259, N22742, N26953, N8964, N55483, N53606, N28999, N1185, N15748, N19004, N64857, N3234
U82412: N7505, N56808, N4038, N37715, N53253, N41541, N40204, N5655, N7540, N15777, N38053, N46521, N45671, N28751, N60192, N45236, N2006, N46146, N62777, N47612
