U93097: N31373, N23938, N52492, N1575, N64273, N811, N37666, N35671, N9368, N27307, N22816, N49279, N26485, N47020, N13374, N23446, N54562, N53572, N938, N44289
U46994: N48740, N37666, N811, N52973, N35671, N47020, N36416, N9368, N22816, N23938, N938, N31373, N53572, N52492, N1575, N64273, N27307, N13374, N26485, N15391
U20897: N811, N22816, N35671, N36416, N13374, N31373, N23938, N27307, N52492, N1575, N64273, N383, N15391, N53572, N938, N26485, N44289, N45416, N38841, N14354
U61: N48740, N811, N52973, N37666, N36416, N31373, N22816, N23938, N52492, N1575, N64273, N53572, N13374, N27307, N9368, N938, N49279, N383, N15391, N23446
U78643: N811, N48740, N37666, N35671, N47020, N23938, N52492, N52973, N36416, N13374, N31373, N22816, N1575, N64273, N383, N54562, N27307, N9368, N53572, N23616
U86428: N52103, N811, N48740, N52973, N35671, N31373, N36416, N23938, N52492, N1575, N64273, N37666, N22816, N53572, N53114, N9368, N26485, N34130, N47020, N938
U22339: N37666, N52973, N48740, N811, N22816, N35671, N36416, N31373, N23938, N27307, N53572, N52492, N1575, N64273, N54562, N383, N9368, N47020, N938, N38841
U89992: N811, N37666, N48740, N52973, N35671, N54562, N53572, N36416, N13374, N31373, N23938, N52492, N1575, N26485, N64273, N27307, N9368, N383, N3678, N46162
U78432: N47020, N48740, N37666, N811, N52973, N35671, N9368, N23938, N36416, N22816, N31373, N23446, N52492, N1575, N64273, N27307, N15391, N13374, N26485, N54562
U70184: N37666, N52973, N811, N35671, N22816, N31373, N53572, N27307, N36416, N23938, N52492, N26485, N1575, N64273, N54562, N47020, N383, N9368, N15391, N38841
U48182: N48740, N52973, N37666, N811, N35671, N47020, N49279, N26485, N9368, N23446, N27307, N22816, N36416, N31373, N23938, N52492, N1575, N64273, N938, N54562
U15639: N811, N37666, N48740, N47020, N52973, N22816, N27307, N36416, N35671, N49279, N31373, N26485, N23938, N52492, N1575, N64273, N9368, N54562, N15391, N53572
U46409: N48740, N811, N37666, N52973, N47020, N9368, N26485, N27307, N10083, N938, N53572, N35671, N54562, N22816, N49279, N36416, N11415, N31373, N52492, N23938
U82412: N48740, N811, N23938, N31373, N52973, N52492, N1575, N64273, N35671, N37666, N9368, N53572, N23446, N15391, N26485, N54562, N13374, N47020, N45416, N59933
U37981: N37666, N811, N47020, N52973, N22816, N54562, N9368, N35671, N27307, N383, N31373, N36416, N23938, N52492, N15391, N938, N1575, N64273, N41881, N49279
U2638: N811, N48740, N37666, N52973, N35671, N13374, N53572, N383, N26485, N27307, N938, N47020, N9368, N15391, N44289, N45416, N38841, N14354, N52907, N18972
U76083: N811, N48740, N37666, N52973, N22816, N35671, N47020, N36416, N31373, N23938, N52492, N1575, N27307, N64273, N9368, N13374, N383, N26485, N44289, N49279
U78702: N48740, N52973, N27307, N35671, N22816, N23938, N36416, N31373, N52492, N1575, N64273, N53572, N9368, N13374, N938, N54562, N49279, N18063, N383, N11415
U8591: N48740, N811, N52973, N22816, N26485, N35671, N53572, N36416, N27307, N31373, N23938, N54562, N52492, N47020, N1575, N64273, N938, N9368, N38841, N383
U86561: N23938, N36416, N52492, N37666, N1575, N64273, N35671, N811, N22816, N15391, N9368, N27307, N49279, N45416, N938, N383, N44289, N18972, N53572, N26485
U297: N811, N48740, N52973, N35671, N47020, N22816, N23938, N31373, N37666, N36416, N52492, N1575, N64273, N27307, N54562, N26485, N31978, N9368, N383, N15391
U39972: N37666, N48740, N52973, N47020, N26485, N811, N49279, N35671, N27307, N9368, N53572, N23446, N36416, N22816, N13374, N54562, N44789, N31373, N57189, N23938
U89041: N48740, N811, N52973, N37666, N26485, N35671, N36416, N31373, N23938, N52492, N1575, N64273, N23446, N9368, N22816, N938, N53572, N27307, N59933, N54562
U71794: N37666, N52973, N48740, N35671, N27307, N36416, N23938, N31373, N383, N53572, N47020, N52492, N1575, N64273, N26485, N938, N54562, N9368, N15391, N32257
U20287: N811, N35671, N52973, N37666, N27307, N53572, N26485, N22816, N9368, N938, N13374, N49279, N47020, N26262, N49180, N10083, N42844, N57189, N11415, N46749
U63851: N811, N37666, N35671, N48740, N52973, N36416, N47020, N23938, N31373, N13374, N22816, N52492, N27307, N1575, N64273, N54562, N26485, N44289, N15391, N9368
U71454: N811, N37666, N35671, N26485, N36416, N53572, N31373, N23938, N52492, N1575, N64273, N938, N54562, N383, N23446, N13374, N47020, N15391, N38841, N44289
U82527: N811, N48740, N52973, N37666, N35671, N53572, N27307, N26485, N47020, N36416, N31373, N23938, N52492, N22816, N1575, N64273, N383, N54562, N938, N49279
U15827: N48740, N811, N37666, N35671, N31373, N36416, N23938, N52492, N1575, N64273, N53572, N52973, N27307, N26485, N22816, N13374, N38841, N54562, N23446, N15391
U58245: N811, N37666, N48740, N52973, N47020, N22816, N27307, N35671, N11415, N938, N31373, N36416, N23938, N9368, N1575, N53572, N26485, N52492, N64273, N13374
U92624: N13374, N37666, N23938, N36416, N31373, N35671, N48740, N15391, N811, N52973, N52492, N1575, N64273, N39932, N8889, N46379, N45416, N54562, N36886, N13865
U1267: N10566, N13981, N48740, N37666, N811, N52973, N18063, N26485, N35671, N36416, N938, N31373, N22816, N13374, N52492, N23938, N1575, N64273, N43955, N54562
U77139: N811, N48740, N37666, N42844, N9368, N52973, N34185, N35671, N36416, N31373, N23938, N52492, N1575, N64273, N47020, N26485, N23446, N49279, N22816, N54562
U70385: N48740, N811, N52973, N26485, N35671, N53572, N36416, N31373, N23938, N9368, N52492, N27307, N1575, N23446, N64273, N22816, N59933, N938, N54562, N10083
U61350: N37666, N48740, N47020, N811, N383, N22816, N52973, N15391, N938, N35671, N49279, N27307, N9368, N54562, N36416, N45416, N44289, N23938, N31373, N52492
U29820: N48740, N37666, N52973, N22816, N35671, N36416, N53572, N31373, N23938, N27307, N52492, N1575, N64273, N54562, N26485, N9368, N13374, N383, N15391, N938
U76352: N48740, N811, N37666, N52973, N938, N35671, N36416, N9368, N31373, N23938, N52492, N1575, N64273, N27307, N26485, N13374, N53572, N11415, N23446, N38841
U10936: N37666, N52973, N811, N22816, N383, N35671, N36416, N53572, N15391, N47020, N27307, N54562, N31373, N23938, N9368, N45416, N52492, N1575, N64273, N32257
U2315: N811, N52973, N48740, N37666, N35671, N22816, N27307, N23938, N31373, N36416, N53572, N52492, N1575, N64273, N383, N9368, N13374, N26485, N938, N57189
U31254: N37666, N811, N48740, N52973, N18063, N22816, N54606, N383, N54562, N44289, N35671, N26485, N13374, N47020, N938, N9368, N36416, N31373, N52492, N38841
U6016: N52973, N48740, N37666, N35671, N36416, N58828, N34973, N27307, N22816, N47020, N31373, N23938, N52492, N1575, N13374, N64273, N9368, N54562, N35725, N53572
