U10008: N17778, N41551, N409, N4662, N49766, N46137, N26584, N53590, N49510, N50645, N11846, N6935, N15429, N27831, N38898, N30724, N33959, N11627, N63828, N28413
U10012: N35272, N23671, N23508, N59501, N31289, N20602, N22445, N35389, N60975, N40368, N60429, N37055, N14985, N23547, N7344, N757, N4119, N49328, N27300, N52530
U10044: N1443, N27363, N9756, N41975, N58924, N4510, N20136, N14364, N36292, N36134, N42499, N31602, N49197, N30667, N57775, N64902, N27333, N36689, N25257, N39393
U10045: N49925, N50713, N53650, N20112, N50536, N52514, N58354, N59375, N22750, N30648, N8733, N24754, N25992, N17468, N42670, N19298, N15541, N2041, N49940, N50034
U10050: N54238, N55421, N3737, N47811, N7333, N27738, N35738, N14924, N29578, N5228, N28150, N42121, N46738, N18375, N15051, N10934, N39061, N57311, N10379, N3704
U10061: N33012, N22285, N16021, N6117, N55851, N51587, N55633, N7754, N9335, N5949, N22874, N4287, N59088, N10350, N31688, N3711, N49285, N47825, N9732, N45986
U10062: N36888, N11511, N56641, N1180, N57344, N13628, N59867, N38869, N56777, N55303, N10840, N17073, N20903, N12136, N34641, N5435, N55544, N33474, N45118, N37101
U10063: N3957, N55830, N17419, N154, N27363, N36243, N12910, N30630, N32221, N38131, N115, N5659, N3788, N23455, N47195, N48450, N17447, N31939, N16520, N44897
U10065: N41698, N40438, N54003, N57367, N53298, N32344, N65094, N33953, N46969, N56830, N63952, N23547, N13980, N48613, N53011, N10912, N20811, N1572, N4912, N6582
U10075: N63272, N36332, N62632, N27866, N36931, N2704, N57225, N22445, N41852, N23838, N37553, N27518, N56675, N60747, N4729, N24021, N60779, N18310, N53497, N53169
U10086: N61286, N26852, N62921, N15072, N15942, N47764, N48487, N43471, N55036, N27945, N938, N29450, N6354, N37688, N32381, N60027, N2847, N3293, N11511, N57670
U10103: N53298, N60939, N45283, N3957, N61811, N31289, N353, N30291, N47572, N49634, N25257, N20296, N57734, N48552, N36940, N18202, N15777, N60161, N64275, N34063
U10133: N52020, N32267, N37738, N31849, N20746, N12703, N10146, N19155, N8012, N30273, N41675, N45095, N34059, N39489, N10943, N5765, N61190, N18644, N46342, N46261
U10152: N15305, N52322, N301, N27195, N18151, N38324, N26125, N55242, N15882, N48151, N41673, N2716, N16990, N60035, N1897, N38060, N34055, N47872, N2096, N31477
U1017: N25088, N12517, N33932, N55931, N53562, N53728, N4118, N56132, N10032, N6471, N39814, N37801, N25664, N24458, N36045, N12596, N59501, N51898, N20963, N42950
U10182: N65062, N23373, N36555, N26572, N27928, N5659, N39298, N55237, N2852, N26286, N779, N23489, N62391, N31624, N32833, N53406, N277, N11378, N18972, N44249
U10185: N19727, N39184, N12162, N20947, N7895, N14535, N6761, N32394, N4287, N14511, N60192, N49527, N46586, N4369, N53590, N32702, N40887, N44184, N40185, N12171
U1019: N34600, N11652, N23455, N55378, N55421, N57515, N56806, N23101, N44463, N40664, N55086, N52009, N20233, N46219, N7333, N48627, N47280, N53515, N25406, N524
U10191: N57625, N22188, N26105, N7371, N16065, N60192, N15234, N52104, N57026, N1330, N24017, N47792, N42365, N8656, N63553, N56585, N43710, N61922, N39890, N12218
U10195: N40119, N13055, N55191, N21719, N35164, N57403, N23254, N9869, N12980, N43702, N2700, N18182, N1189, N3640, N9259, N40854, N59543, N62919, N51560, N57120
U10201: N28324, N53741, N15738, N35495, N17720, N5655, N15336, N55303, N27361, N59761, N49053, N12344, N25091, N15097, N518, N35094, N7288, N1330, N33456, N45953
U10218: N4390, N7328, N59082, N4226, N30372, N62920, N28910, N24832, N4700, N59457, N43415, N64594, N18449, N30818, N11648, N34617, N11675, N20459, N14125, N19003
U10233: N48533, N44427, N59427, N9580, N18145, N26488, N29533, N50542, N20521, N44289, N39448, N56545, N42334, N19030, N65049, N31812, N50658, N30309, N60660, N27625
U10239: N23044, N33212, N6432, N4384, N4273, N2761, N33388, N4247, N34171, N33738, N59543, N22564, N31184, N35591, N28816, N15066, N42678, N8045, N1774, N31939
U10259: N45315, N15682, N58881, N22809, N64918, N56545, N35486, N31626, N5822, N8074, N32457, N16952, N38759, N63773, N30667, N496, N20426, N16547, N48683, N40982
U10265: N8353, N26653, N48849, N35521, N14036, N38145, N11092, N57413, N50005, N17194, N24272, N48252, N35486, N55036, N24539, N11771, N53283, N55931, N21468, N60322
U10285: N22416, N7600, N33415, N19477, N20939, N64409, N38690, N38764, N15772, N26792, N55193, N41946, N3123, N57202, N15855, N64459, N64632, N40109, N27055, N46270
U10296: N50757, N60130, N59908, N23406, N42635, N59162, N61898, N55259, N55609, N36987, N56711, N20498, N32205, N10032, N27928, N64424, N11036, N26499, N50080, N53201
U1030: N56641, N39586, N33505, N6471, N27555, N63817, N53587, N56227, N8468, N8267, N3421, N61973, N46624, N10294, N64545, N18895, N29735, N48740, N58924, N34397
U10306: N55279, N57462, N25091, N63381, N44183, N34130, N52286, N26940, N6767, N60092, N53248, N57854, N15051, N409, N19459, N26515, N64409, N58283, N57180, N15336
U10311: N9306, N50776, N25256, N40468, N60222, N12608, N28251, N42904, N32623, N55322, N21519, N63919, N41658, N28978, N36351, N4741, N1774, N36779, N778, N51019
U10332: N49973, N43433, N57625, N445, N61483, N51875, N50484, N29228, N46182, N19003, N61338, N61197, N29004, N8964, N28908, N32226, N18865, N39442, N8, N30835
U10338: N46887, N63746, N48706, N12343, N11511, N53249, N3421, N13007, N37629, N31448, N48843, N23935, N18653, N45666, N65021, N32626, N35682, N10344, N20776, N17655
U10404: N944, N23779, N23409, N5519, N64802, N27737, N44934, N11823, N1660, N6343, N13854, N63415, N37547, N19643, N247, N24717, N23816, N34283, N55029, N35238
U1045: N42328, N17510, N64918, N1887, N19891, N47040, N28998, N60222, N41285, N43227, N19811, N58935, N63990, N30724, N5088, N34504, N3089, N7371, N8353, N22613
U10450: N32945, N57675, N15238, N2463, N57763, N37258, N5507, N31376, N53322, N4331, N52505, N33638, N11220, N5796, N30639, N15746, N39685, N38164, N47195, N51581
U10451: N51344, N33357, N47888, N41074, N28643, N43919, N51914, N20510, N34258, N44346, N38073, N22613, N18145, N62365, N20601, N23657, N1561, N37266, N50034, N29322
U10455: N36249, N35369, N22885, N2045, N43655, N24599, N50776, N12344, N33176, N45779, N42017, N28589, N48740, N225, N428, N10146, N15921, N35389, N45812, N31868
U10474: N39149, N59385, N49364, N50946, N60186, N6343, N39949, N46012, N11153, N62658, N53984, N62744, N46577, N31769, N62195, N60960, N13854, N36003, N18865, N33176
U10478: N26220, N12517, N5050, N8914, N14370, N5838, N23682, N16260, N3292, N29917, N51686, N58612, N42163, N30648, N3865, N13640, N23502, N38509, N1307, N49607
U10482: N32078, N1310, N19321, N35591, N30374, N12769, N8327, N26499, N33945, N44854, N36243, N27376, N62521, N38294, N4884, N44558, N47630, N48898, N56551, N48215
U10491: N59320, N15305, N5358, N61488, N58301, N31500, N6979, N36032, N21542, N51966, N28747, N40078, N8247, N51373, N27318, N1897, N29313, N19614, N40156, N57706
U10507: N63965, N44789, N48049, N15001, N5223, N61760, N22917, N34488, N27539, N24599, N57542, N34709, N46713, N55712, N747, N1352, N24608, N341, N44853, N43955
U10516: N19061, N21539, N64808, N25124, N52329, N28059, N63791, N17575, N51995, N43826, N59317, N4820, N16813, N40886, N64594, N59653, N47370, N64535, N11546, N50725
U10524: N37408, N42628, N56930, N48706, N23593, N52020, N164, N37577, N41917, N20729, N11572, N53201, N22803, N2062, N8327, N3957, N11542, N33576, N59412, N64515
U1053: N1597, N60186, N10088, N30345, N9883, N61657, N50879, N20676, N34953, N6021, N49003, N7472, N35994, N61318, N37783, N35576, N29354, N61782, N35340, N45302
U10585: N50727, N5048, N35327, N13707, N5293, N19061, N41698, N13887, N31477, N44998, N11944, N32074, N27936, N31014, N61230, N36987, N46726, N49249, N22163, N51486
U10604: N22624, N3157, N28072, N19099, N56225, N47248, N34525, N16806, N22600, N24458, N1692, N15249, N25637, N14181, N32639, N7789, N5472, N64816, N41910, N11823
U10611: N42593, N6255, N3190, N46951, N10344, N56142, N42163, N28704, N58638, N23956, N8941, N47102, N40184, N24435, N46703, N22942, N19036, N57625, N12344, N61844
U10635: N29107, N55322, N51373, N57655, N30472, N21863, N23527, N49510, N4573, N36914, N57085, N20388, N32288, N9775, N31332, N16568, N29994, N14054, N10401, N48490
U10674: N56645, N24985, N18118, N43715, N10857, N14871, N22285, N35857, N39338, N17694, N60900, N33894, N11217, N18529, N26733, N45338, N38371, N37258, N57053, N56493
