U10008, iter_0: N14652, N54408, N37688, N64634, N42723, N20545, N35411, N64228, N14270, N59186, N19013, N6873, N50924, N55544, N24146, N65028, N10857, N46821, N28698, N16051
U10012, iter_0: N31884, N63390, N6578, N15559, N42196, N58660, N14990, N47380, N706, N57034, N13980, N40451, N46037, N12682, N63255, N53735, N59833, N45793, N46917, N33212
U10044, iter_0: N37007, N39463, N58264, N29450, N19477, N30401, N41221, N1344, N63681, N6916, N53335, N1914, N15194, N53011, N557, N53443, N30834, N31782, N53515, N47433
U10045, iter_0: N53013, N30118, N39463, N8711, N59960, N29533, N11289, N52299, N49878, N1575, N308, N18485, N21681, N57403, N57451, N18895, N52492, N4680, N56270, N53011
U10050, iter_0: N46037, N51187, N34031, N55723, N1344, N279, N16461, N38797, N6056, N59385, N47433, N61970, N5886, N44249, N33120, N35252, N25163, N4661, N308, N51099
U10061, iter_0: N58264, N16461, N1344, N53910, N43386, N3416, N38797, N17510, N46037, N35252, N55723, N36408, N44249, N308, N34031, N61970, N47433, N28324, N25163, N21590
U10062, iter_0: N19998, N27318, N38869, N706, N17778, N46501, N47652, N47380, N31289, N6578, N42670, N55229, N29952, N26537, N57403, N42890, N48659, N11289, N18571, N46283
U10062, iter_1: N18895, N44645, N28420, N43361, N41285, N57972, N5940, N64077, N20394, N50565, N3996, N16914, N27906, N56217, N43822, N61466, N11652, N49973, N18295, N31492
U10062, iter_2: N15194, N34360, N39298, N23409, N40206, N16461, N20764, N39399, N40670, N5085, N32288, N18312, N49955, N31423, N26057, N1344, N18485, N7947, N46441, N13464
U10062, iter_3: N42365, N38550, N12980, N34869, N14270, N22731, N41596, N32290, N57236, N35216, N40094, N23444, N58383, N22042, N15942, N41881, N9368, N13834, N38073, N61682
U10062, iter_4: N64469, N37146, N61970, N13347, N27079, N42499, N34031, N60531, N58129, N23602, N6767, N28571, N64264, N58264, N41621, N21681, N2994, N53335, N59685, N37346
U10063, iter_0: N53011, N28072, N1952, N41221, N15279, N21290, N37500, N29363, N8375, N37007, N27891, N30288, N40752, N61973, N24617, N23603, N12682, N29322, N38333, N33469
U10065, iter_0: N24109, N41113, N29920, N45561, N38333, N42248, N59908, N34457, N61844, N11083, N40899, N37500, N46915, N61296, N51875, N39109, N61623, N1477, N9118, N59003
U10075, iter_0: N59908, N63746, N2704, N59867, N56434, N56456, N41285, N61296, N62170, N31556, N51875, N10541, N41006, N26537, N30288, N21063, N46501, N44166, N34081, N57972
U10086, iter_0: N1952, N11569, N62894, N33120, N279, N41172, N5886, N60550, N22456, N47433, N16725, N55723, N18151, N28324, N30689, N44249, N39399, N2994, N58264, N36037
U10103, iter_0: N18151, N57403, N46037, N39109, N16725, N52009, N40221, N60472, N45017, N13498, N53011, N62170, N46501, N35252, N8711, N8162, N53308, N37346, N30288, N59960
U10103, iter_1: N9971, N61241, N23918, N61593, N35671, N46586, N36916, N18312, N48077, N38915, N11083, N4680, N53381, N62820, N59526, N32239, N35436, N301, N53001, N3138
U10103, iter_2: N30345, N3007, N45163, N40670, N51875, N41400, N2994, N1067, N308, N59908, N43646, N9118, N18485, N1860, N17952, N55531, N57972, N28420, N30834, N18291
U10103, iter_3: N61404, N54867, N57354, N45958, N61326, N45283, N34044, N10934, N27063, N6555, N42112, N30222, N21186, N52560, N53335, N23195, N27545, N60215, N20709, N28052
U10103, iter_4: N50565, N41498, N28983, N31179, N58129, N46203, N26584, N64933, N34344, N20236, N43400, N26537, N31556, N51690, N52201, N50775, N24275, N29217, N59586, N52588
U10133, iter_0: N46501, N28129, N51489, N48717, N42670, N19623, N47433, N21590, N11551, N33212, N11944, N33297, N279, N60747, N51187, N59981, N49973, N22975, N44640, N24213
U10133, iter_1: N46915, N34495, N14257, N59385, N43361, N53443, N47902, N20764, N26262, N62207, N6056, N42196, N46037, N18151, N677, N46162, N33120, N60472, N2994, N40575
U10133, iter_2: N27906, N15559, N39932, N29217, N52201, N34031, N59908, N9846, N8162, N47190, N37346, N52776, N31014, N43646, N64077, N4107, N62393, N51099, N49038, N11092
U10152, iter_0: N15559, N36612, N61970, N62207, N41640, N28281, N25015, N19387, N2649, N43646, N34360, N26792, N63746, N677, N20394, N11931, N50775, N36037, N39109, N28103
U1017, iter_0: N43460, N62894, N11569, N62750, N58656, N55397, N18151, N47087, N54571, N51489, N40356, N33831, N40324, N8657, N17342, N16431, N56347, N24458, N42223, N59586
U10182, iter_0: N54571, N48487, N6209, N51187, N279, N7173, N6371, N14170, N41172, N6532, N29322, N46917, N12330, N53011, N52502, N30288, N31978, N11569, N11944, N52835
U10182, iter_1: N6056, N55723, N33120, N45017, N18151, N2994, N59960, N47433, N40575, N41400, N26488, N23508, N64077, N40468, N44249, N51690, N51099, N53335, N16461, N39399
U10182, iter_2: N45912, N15628, N23824, N29830, N20025, N58553, N50107, N39683, N7121, N28751, N6837, N61811, N6399, N59602, N28072, N33218, N47087, N23107, N6761, N58748
U10185, iter_0: N47652, N29363, N25163, N23603, N1344, N38142, N35436, N58264, N63390, N4610, N24617, N45017, N61973, N32196, N21590, N56211, N11551, N22456, N59042, N13498
U10185, iter_1: N29930, N37007, N2235, N52202, N17952, N21290, N46037, N10379, N1067, N54587, N16066, N46915, N51875, N13464, N29920, N6056, N38797, N31454, N40221, N47553
U10185, iter_2: N61296, N33469, N46586, N33877, N47433, N29268, N30288, N21063, N37346, N14170, N17778, N2704, N30562, N20984, N52201, N40575, N47190, N53735, N59908, N28324
U1019, iter_0: N7112, N39399, N47216, N17342, N38797, N50372, N33120, N14170, N59385, N19536, N1371, N59876, N4610, N39184, N53910, N38898, N25837, N20177, N21039, N23602
U10191, iter_0: N35725, N31036, N50372, N31884, N31789, N36037, N28640, N11944, N4290, N18295, N7961, N31939, N1575, N48487, N62423, N52577, N27738, N54439, N46783, N677
U10195, iter_0: N44765, N19004, N40221, N24617, N12682, N20394, N11681, N32641, N22975, N26690, N32139, N46501, N30288, N47190, N677, N46203, N30929, N50565, N56897, N48302
U10201, iter_0: N57403, N42890, N48407, N29369, N61970, N6056, N47380, N35447, N39109, N11931, N61623, N2994, N4905, N32489, N17998, N32786, N59586, N29627, N12613, N6371
U10201, iter_1: N58656, N49955, N64954, N37500, N58129, N26584, N59960, N61541, N20764, N33670, N18063, N56217, N677, N36037, N3996, N25163, N61466, N47433, N46037, N17936
U10201, iter_2: N48894, N43053, N34794, N8468, N30717, N51700, N10061, N44394, N12517, N17261, N64289, N2869, N50990, N5135, N45466, N13374, N34218, N16461, N30382, N31192
U10218, iter_0: N62423, N6578, N64183, N64095, N48659, N18295, N1539, N3416, N55229, N54571, N27318, N8907, N14990, N1663, N4661, N34081, N18151, N38869, N50657, N60027
U10233, iter_0: N39463, N17952, N31395, N38797, N58264, N53013, N34601, N26537, N40078, N38053, N18895, N49001, N55555, N47370, N8711, N32708, N53728, N28983, N4661, N30288
U10233, iter_1: N33623, N4610, N5288, N27318, N19025, N38733, N11551, N21681, N22456, N40752, N48077, N62423, N47433, N59526, N16725, N17778, N8162, N64469, N60472, N46586
U10233, iter_2: N18312, N47902, N58656, N56270, N45017, N49038, N20331, N2159, N4107, N13347, N43460, N6056, N5886, N26762, N40899, N13640, N62170, N17510, N41400, N36037
U10233, iter_3: N41917, N16260, N42796, N35216, N14964, N63773, N21030, N36414, N42590, N54960, N38381, N60750, N60085, N44605, N59868, N55123, N25064, N38155, N1790, N54321
U10233, iter_4: N24458, N37007, N19685, N28725, N27532, N61466, N18571, N21290, N30401, N40906, N49878, N18332, N1189, N18063, N49712, N24424, N46915, N16461, N15559, N1185
U10239, iter_0: N24458, N48077, N7112, N28129, N9734, N20764, N61466, N52577, N15194, N47087, N40899, N37500, N20507, N39399, N20459, N16461, N8657, N36689, N53381, N39015
U10259, iter_0: N35436, N58660, N63390, N1344, N60939, N26271, N52502, N39109, N46917, N11569, N14990, N25163, N28800, N1952, N42196, N59586, N34344, N8375, N32536, N64183
U10265, iter_0: N15194, N30288, N59653, N53443, N47370, N25163, N31782, N30401, N18485, N53013, N557, N1344, N63681, N21290, N37007, N38333, N51187, N52312, N18332, N29450
U10285, iter_0: N38797, N55830, N31556, N61623, N10541, N2704, N6056, N56804, N43400, N61969, N10008, N59022, N28571, N30288, N49252, N44249, N130, N46283, N52776, N58129
U10296, iter_0: N44249, N60550, N54571, N59960, N41172, N11289, N33120, N55723, N39399, N53013, N38898, N50372, N27079, N61241, N53168, N62033, N62894, N47433, N10612, N35671
U1030, iter_0: N59960, N55723, N19536, N17510, N26488, N18151, N46917, N1371, N36037, N26584, N60472, N2062, N47433, N8162, N61970, N57413, N14978, N4661, N59385, N46037
U1030, iter_1: N26792, N56347, N31395, N38333, N18571, N37346, N40899, N51690, N57888, N13640, N45163, N11931, N13498, N52835, N24424, N21590, N59586, N47190, N31014, N37553
U1030, iter_2: N53634, N45953, N54743, N41258, N48450, N12823, N16616, N60018, N27025, N677, N9436, N23508, N33474, N52520, N9318, N20498, N10541, N35773, N51560, N7181
U1030, iter_3: N64095, N55555, N38053, N59526, N5085, N29322, N14809, N34004, N32221, N15194, N47087, N32239, N26130, N62436, N4857, N57521, N42988, N25015, N10278, N17936
U1030, iter_4: N24458, N34601, N61929, N34495, N40078, N775, N63390, N53364, N26781, N41497, N54136, N56458, N39298, N301, N34805, N48302, N46783, N20816, N53443, N22456
U10306, iter_0: N6578, N11551, N59960, N33212, N45017, N56270, N19536, N62170, N2159, N49878, N5886, N18571, N17510, N50565, N4661, N26584, N8907, N31556, N40752, N52588
U10306, iter_1: N60472, N28571, N53013, N308, N40575, N16914, N29217, N30288, N34344, N50775, N4107, N62393, N43361, N39932, N36037, N24275, N44249, N31014, N11931, N53011
U10306, iter_2: N63390, N33877, N32239, N1189, N6873, N40324, N52577, N4290, N20764, N42499, N23184, N41221, N1539, N436, N47380, N32196, N3841, N50942, N61929, N22456
U10306, iter_3: N49634, N23814, N29229, N18423, N15477, N42163, N24007, N16794, N13599, N35370, N61446, N57104, N50060, N16844, N37786, N32630, N19764, N59375, N34709, N16271
U10306, iter_4: N35436, N19998, N59526, N28800, N59042, N34081, N10278, N59981, N11944, N37346, N54018, N8162, N1575, N4128, N64095, N28324, N6767, N61970, N21590, N46783
U10311, iter_0: N40468, N22975, N26690, N33526, N58070, N3416, N45754, N3045, N53754, N39184, N28851, N56897, N7852, N33297, N5288, N46037, N9354, N53630, N11789, N47848
U10332, iter_0: N29450, N11652, N59653, N53815, N557, N19477, N30401, N30118, N2235, N47553, N61593, N41221, N60059, N42223, N40206, N18485, N38333, N20601, N46501, N17510
U10338, iter_0: N39184, N56211, N48487, N17778, N18571, N53630, N1952, N51187, N41621, N5288, N39399, N33212, N60472, N21941, N6642, N64273, N4290, N17234, N20478, N21681
U10338, iter_1: N31782, N26262, N28725, N38333, N47902, N46162, N11289, N26762, N16725, N38882, N53815, N46203, N308, N29920, N16461, N37346, N1189, N40575, N28983, N60059
