U10008, iter_0: N43386, N61970, N1344, N59385, N55723, N46037, N35252, N58264, N44249, N308, N61623, N39399, N41400, N33120, N53910, N2994, N279, N3416, N41172, N53335
U10012, iter_0: N31884, N63390, N6578, N15559, N42196, N58660, N14990, N47380, N706, N57034, N13980, N40451, N46037, N12682, N63255, N53735, N59833, N45793, N46917, N33212
U10044, iter_0: N37007, N39463, N35436, N58030, N58264, N29450, N47652, N19477, N30401, N24617, N41221, N1344, N22975, N50484, N64095, N38142, N12477, N63681, N7568, N6916
U10045, iter_0: N53013, N39463, N8711, N11289, N52299, N49878, N1575, N308, N18485, N57403, N18895, N52492, N4680, N56270, N53011, N17360, N8162, N38797, N28072, N62092
U10050, iter_0: N46037, N51187, N33929, N4663, N34031, N19292, N47095, N50990, N65025, N53242, N51700, N25491, N57764, N28059, N57591, N21983, N37157, N15051, N63014, N1344
U10061, iter_0: N37458, N59833, N53986, N45017, N61241, N30689, N24424, N32196, N17998, N42890, N21312, N50942, N35436, N31289, N47216, N64273, N47380, N58264, N16914, N4610
U10062, iter_0: N26762, N62436, N28420, N58354, N61970, N5940, N31454, N33831, N61466, N2235, N34031, N35619, N46130, N20507, N31782, N38556, N34360, N24467, N3865, N4680
U10062, iter_1: N27318, N42365, N10786, N26587, N50308, N22731, N6578, N57236, N40470, N3589, N39184, N29952, N46446, N23373, N32719, N54437, N21312, N48302, N29128, N64469
U10062, iter_2: N38869, N57403, N44645, N52588, N43361, N37146, N3996, N51690, N49973, N18291, N56270, N59586, N52492, N29217, N51099, N61969, N52776, N23409, N46379, N60472
U10062, iter_3: N38550, N35216, N15942, N38073, N43522, N63773, N53304, N45479, N30835, N34055, N14535, N51700, N47095, N59415, N44855, N6555, N45283, N43102, N51587, N7500
U10062, iter_4: N47902, N18895, N38333, N17936, N1477, N11652, N39463, N15194, N46915, N50670, N29920, N5519, N3007, N61593, N21156, N60059, N39298, N8889, N23918, N26781
U10063, iter_0: N53011, N30288, N40752, N24275, N40221, N8162, N36037, N28983, N46501, N46203, N60472, N18295, N39109, N13498, N43646, N21681, N18151, N64077, N37346, N62001
U10065, iter_0: N41113, N29920, N42248, N59908, N53011, N20394, N50565, N11083, N37500, N38869, N46915, N61296, N28103, N39109, N61623, N46501, N34031, N8711, N47975, N58129
U10075, iter_0: N59908, N63746, N2704, N59867, N56434, N56456, N41285, N61296, N62170, N31556, N51875, N10541, N41006, N26537, N30288, N21063, N46501, N44166, N34081, N57972
U10086, iter_0: N1952, N49955, N11569, N40324, N62894, N28327, N58656, N64606, N18312, N57451, N55397, N47087, N14170, N48487, N24686, N33831, N60550, N51581, N54752, N26262
U10103, iter_0: N18151, N57403, N1952, N30689, N11569, N53335, N31978, N46037, N39109, N16725, N47216, N35671, N52009, N40221, N60472, N45017, N53011, N62170, N46501, N35252
U10103, iter_1: N57354, N51954, N23513, N59602, N45958, N61326, N34044, N1847, N6555, N30818, N38381, N51633, N56278, N4700, N23398, N29930, N36232, N53584, N20624, N23671
U10103, iter_2: N59960, N40752, N43646, N34344, N26537, N52201, N24275, N4107, N56434, N18794, N10367, N15559, N25837, N57001, N47190, N37272, N23508, N13980, N8711, N53308
U10103, iter_3: N38053, N34457, N23918, N61593, N20325, N30345, N7568, N36916, N19623, N18312, N4610, N48077, N26130, N38915, N31454, N11083, N4680, N62820, N59526, N39298
U10103, iter_4: N46586, N41113, N64335, N7173, N5693, N27866, N9354, N20576, N8709, N5886, N53735, N57888, N52299, N43955, N11675, N65103, N57521, N46915, N56347, N46283
U10133, iter_0: N46501, N28129, N51489, N48717, N42670, N19623, N47433, N21590, N11551, N33212, N11944, N33297, N60747, N51187, N59981, N49973, N44640, N24213, N59685, N59385
U10133, iter_1: N43361, N42196, N27906, N60472, N40575, N15559, N1575, N39932, N29217, N52201, N39399, N64372, N59908, N8162, N47190, N18291, N37346, N53168, N56217, N31014
U10133, iter_2: N46915, N57521, N25015, N47087, N3293, N1091, N48302, N29363, N48455, N43246, N4680, N38797, N32277, N14333, N31676, N15194, N18978, N20764, N31294, N61466
U10152, iter_0: N61970, N46037, N16461, N34031, N61623, N308, N44249, N53335, N51099, N2994, N279, N43386, N55723, N26488, N40468, N1344, N38797, N36408, N21590, N41400
U1017, iter_0: N62001, N18151, N59586, N41285, N33326, N8711, N53308, N53013, N37146, N44166, N57001, N44645, N61040, N28571, N53168, N27906, N18571, N31014, N26584, N18291
U10182, iter_0: N54571, N48487, N6209, N51187, N279, N7173, N6371, N14170, N41172, N6532, N29322, N46917, N52502, N31978, N11569, N11944, N52835, N60192, N42655, N6056
U10182, iter_1: N45912, N15628, N23824, N29830, N20025, N58553, N50107, N39683, N7121, N28751, N6837, N61811, N6399, N59602, N28072, N33218, N47087, N23107, N6761, N58748
U10182, iter_2: N57888, N40899, N33670, N58030, N12330, N21142, N15811, N55723, N16725, N45017, N18151, N55397, N20331, N17360, N31423, N41387, N59960, N34360, N18571, N37007
U10185, iter_0: N47652, N29363, N25163, N23603, N1344, N38142, N35436, N58264, N63390, N4610, N24617, N45017, N61973, N32196, N21590, N56211, N11551, N22456, N59042, N13498
U10185, iter_1: N40906, N53443, N46441, N17936, N18485, N18312, N21290, N46037, N1067, N54587, N11652, N16066, N61296, N29920, N47902, N30288, N37346, N29722, N39298, N11083
U10185, iter_2: N51867, N28324, N301, N33623, N4556, N36689, N42196, N4107, N49038, N54437, N64077, N39015, N43361, N15559, N48084, N7173, N40451, N31676, N64469, N62393
U1019, iter_0: N55555, N7112, N47216, N17342, N30345, N64606, N50372, N36612, N46084, N14170, N11083, N49001, N47975, N17936, N24686, N19536, N59876, N29920, N7947, N4610
U10191, iter_0: N50372, N31789, N36037, N28640, N11944, N4290, N18295, N31939, N1575, N52577, N27738, N677, N55229, N15559, N39149, N16725, N44249, N13640, N2159, N48084
U10195, iter_0: N26690, N47190, N48302, N11551, N61973, N12613, N1344, N29322, N29363, N34805, N29217, N301, N41400, N5576, N63390, N49038, N4556, N54437, N64412, N60472
U10201, iter_0: N42890, N48407, N29369, N61970, N54571, N30614, N6056, N47380, N35447, N39109, N21312, N11931, N61623, N2994, N301, N4905, N32489, N17998, N32786, N59586
U10201, iter_1: N41547, N29322, N130, N16461, N1065, N31789, N31294, N35252, N4556, N45960, N38733, N26048, N47433, N46037, N60939, N51187, N39015, N308, N41658, N34668
U10201, iter_2: N58129, N20764, N43646, N47553, N56217, N1575, N24424, N64372, N18794, N43361, N21590, N31014, N44645, N38333, N46915, N44249, N64077, N52299, N12330, N13347
U10218, iter_0: N6578, N64095, N48659, N18295, N1539, N3416, N55229, N54571, N8907, N14990, N4661, N34081, N18151, N38869, N37146, N2994, N39399, N43386, N33212, N52577
U10233, iter_0: N39463, N17952, N31395, N38797, N58264, N53013, N34601, N26537, N40078, N37007, N38053, N18895, N49001, N55555, N47370, N8711, N32708, N3007, N53728, N28983
U10233, iter_1: N11569, N27318, N7112, N38901, N11551, N10278, N4661, N18571, N56270, N59960, N56434, N21063, N47433, N31556, N64469, N60472, N12613, N24424, N16461, N20325
U10233, iter_2: N40906, N1189, N49038, N4107, N13347, N58129, N5886, N62170, N1344, N4857, N44249, N47975, N41400, N29217, N27553, N25163, N11289, N28571, N31014, N45163
