U10008: N16081, N28800, N34344, N28324, N39432, N44789, N11645, N50924, N49712, N6873, N29268, N3138, N53242, N27055, N35495, N46130, N61296, N43386, N31676, N38488
U10012: N15435, N18063, N57034, N28324, N58030, N23535, N10616, N55913, N46283, N24467, N63390, N29722, N50924, N59814, N3303, N31884, N13980, N11551, N20764, N50023
U10044: N54867, N47370, N53011, N28324, N37007, N51793, N16851, N48539, N47216, N39463, N35436, N46915, N28132, N1336, N60750, N58030, N46501, N2994, N61973, N47704
U10045: N58054, N14170, N59960, N28324, N48077, N64184, N31373, N36288, N35671, N31782, N17778, N29920, N28091, N9538, N62318, N30118, N53013, N308, N27738, N35051
U10050: N19661, N20764, N13498, N55723, N47087, N9284, N56459, N33929, N46917, N37553, N301, N57888, N4663, N34794, N56051, N20576, N59960, N46037, N19536, N18708
U10061: N60750, N47370, N24424, N28324, N30345, N41881, N15838, N38550, N27532, N59833, N42890, N40324, N14535, N19057, N3763, N53986, N52492, N16461, N54439, N22908
U10062: N32567, N20576, N38869, N28324, N47902, N30290, N51560, N25064, N59833, N26762, N4610, N28420, N28496, N49183, N47280, N19998, N53013, N51099, N54437, N31212
U10063: N20746, N1952, N53011, N28324, N28072, N16120, N35200, N11817, N29930, N15279, N61973, N21290, N21186, N12588, N23394, N29363, N40752, N25163, N53728, N40109
U10065: N6706, N22975, N59908, N28324, N24109, N9047, N47151, N37157, N41113, N10612, N60041, N46915, N62128, N36485, N58054, N60939, N53011, N34031, N52577, N35051
U10075: N57032, N63746, N59908, N28324, N16804, N39814, N38070, N50404, N19433, N59867, N7852, N46915, N7600, N3174, N9928, N56456, N2704, N11551, N30639, N30253
U10086: N10250, N49955, N16725, N28324, N11569, N6837, N48476, N22029, N1952, N40324, N62894, N43460, N25064, N35094, N5897, N14170, N18151, N47433, N31676, N62532
U10103: N13930, N9971, N18151, N28324, N58030, N9991, N23513, N57354, N34004, N11569, N35671, N34457, N51954, N35200, N20729, N1952, N57403, N46037, N7173, N31154
U10133: N16138, N46917, N43822, N28324, N15194, N63647, N55747, N44394, N34004, N28129, N46586, N46915, N61326, N16568, N55421, N51489, N46501, N47433, N61973, N1660
U10152: N9724, N26781, N28281, N28324, N29322, N4923, N22977, N4649, N39184, N41640, N40451, N25015, N6745, N8214, N64794, N36612, N15559, N46037, N4290, N60921
U1017: N409, N1952, N41285, N28324, N49955, N9047, N57344, N57764, N103, N62894, N11569, N40324, N4663, N33332, N64801, N6916, N33326, N38797, N56347, N23176
U10182: N23394, N54571, N40752, N28324, N28072, N9284, N57344, N28751, N58656, N48487, N7173, N24109, N61811, N15249, N56051, N6209, N12330, N47433, N46915, N23767
U10185: N53877, N47652, N13498, N28324, N29930, N19444, N19057, N38490, N47370, N29363, N63390, N37007, N50924, N14964, N20729, N23603, N61296, N1344, N61973, N65021
U1019: N38294, N55555, N25837, N28324, N41640, N12523, N15838, N22483, N59981, N60105, N14170, N24458, N46923, N58171, N64228, N7112, N59960, N34031, N19536, N20614
U10191: N63550, N36612, N36037, N28324, N28640, N44698, N4119, N22036, N58660, N28072, N48487, N20764, N53304, N33474, N62700, N35725, N677, N1344, N52577, N7757
U10195: N30099, N60939, N40221, N28324, N26690, N6522, N28179, N7462, N53515, N26271, N14333, N53728, N4485, N445, N48824, N31454, N20394, N11551, N29627, N36624
U10201: N17289, N47087, N50775, N28324, N48407, N21484, N45416, N64786, N6916, N42890, N47380, N20764, N8468, N27932, N53350, N59833, N53013, N16461, N301, N16713
U10218: N41717, N49252, N18295, N28324, N55397, N1228, N10350, N30648, N50484, N8657, N62423, N46915, N33791, N57344, N36351, N52502, N55229, N39399, N24458, N22417
U10233: N37437, N64095, N53013, N28324, N29364, N32257, N23513, N28132, N5940, N33623, N59367, N39463, N35216, N35094, N52447, N47380, N26537, N38797, N24458, N15269
U10239: N55943, N56456, N47190, N28324, N19811, N54000, N16616, N33929, N27318, N24458, N18145, N9734, N8876, N25992, N41174, N47572, N26537, N39399, N48084, N11869
U10259: N14370, N47370, N34344, N28324, N30834, N49335, N10616, N50924, N6578, N29930, N63390, N33634, N16806, N53349, N38263, N35436, N39109, N25163, N53728, N65216
U10265: N33123, N15194, N40752, N28324, N1539, N11846, N15481, N55977, N6578, N53443, N61973, N32708, N35570, N48476, N8559, N59653, N30288, N1344, N41387, N60750
U10285: N41549, N11681, N2704, N28324, N3841, N50588, N23089, N9621, N23184, N41658, N54571, N24458, N4663, N42698, N50312, N13408, N56804, N43386, N29627, N30253
U10296: N63174, N26262, N11289, N28324, N48487, N5048, N55747, N48350, N15811, N54571, N46586, N40324, N61811, N24272, N49180, N33831, N59960, N44249, N48084, N1660
U1030: N60647, N55555, N59960, N28324, N6767, N46736, N53346, N25064, N39184, N24458, N29322, N27532, N36288, N27932, N49279, N64095, N36037, N47433, N19536, N12029
U10306: N19990, N6578, N56270, N28324, N15194, N14370, N38371, N36414, N2649, N35436, N63390, N21290, N14751, N53346, N19013, N64183, N59960, N11551, N19536, N14436
U10311: N15574, N22975, N57034, N28324, N26690, N31154, N29889, N36414, N41113, N33526, N53630, N20947, N44183, N55253, N15435, N47572, N18151, N11551, N9409, N21428
U10332: N61740, N39463, N46501, N28324, N11652, N19694, N52138, N36414, N47216, N47553, N35436, N56347, N38550, N16851, N31519, N29450, N37346, N11551, N61973, N14744
U10338: N25471, N47216, N60472, N28324, N14170, N59602, N15838, N25678, N36612, N4610, N17778, N61466, N9621, N23513, N58054, N39184, N11289, N39399, N53630, N45912
U10404: N23394, N12682, N50775, N28324, N18312, N15817, N9538, N27869, N40906, N1952, N4610, N41387, N1790, N1336, N3745, N47216, N9846, N11551, N35671, N7670
U1045: N47412, N39184, N60472, N28324, N2530, N28987, N46592, N64858, N5288, N16477, N32393, N26057, N53304, N35815, N4510, N1065, N30288, N11551, N53381, N59149
