U10008: N16081, N3996, N6873, N44249, N11645, N35495, N34344, N49712, N28800, N50924, N61296, N39432, N28327, N43386, N61970, N64077, N51875, N31676, N3138, N28324
U10012: N15435, N18063, N21590, N15559, N3303, N55913, N46283, N10616, N63390, N6578, N58030, N40906, N20764, N11551, N58264, N57034, N13980, N28640, N34344, N28324
U10044: N54867, N47370, N1344, N30288, N16851, N47216, N47704, N37007, N48539, N35436, N58030, N58264, N61973, N53011, N2994, N62033, N46501, N46915, N15559, N28324
U10045: N14170, N58054, N59960, N308, N62318, N35671, N31373, N47216, N48077, N31782, N53013, N36288, N29920, N39463, N53011, N53728, N53335, N51187, N28324, N4107
U10050: N19661, N13498, N20764, N46037, N46917, N56051, N59960, N42196, N20576, N24686, N56459, N51187, N33929, N301, N37553, N47087, N55723, N28129, N52201, N28324
U10061: N38550, N47370, N61241, N62393, N60750, N3763, N27532, N15838, N37458, N59833, N30345, N24424, N42890, N58264, N16461, N54439, N40324, N44249, N28324, N34344
U10062: N32567, N53013, N59833, N51099, N25064, N30290, N20576, N19685, N38869, N47902, N51560, N4610, N26762, N54437, N28420, N43361, N61970, N34031, N29217, N28324
U10063: N20746, N53011, N1952, N25163, N16120, N11817, N29930, N28072, N41221, N1344, N29363, N53728, N35200, N30288, N40752, N61973, N12682, N55723, N64077, N28324
U10065: N6706, N22975, N59908, N34031, N47151, N9047, N37157, N24109, N41113, N29920, N10612, N60041, N20394, N52577, N46915, N61296, N61623, N43386, N64077, N28324
U10075: N57032, N59908, N63746, N2994, N39814, N16804, N38070, N50404, N19433, N6371, N2704, N56434, N30639, N51875, N46915, N16477, N64077, N11551, N61970, N28324
U10086: N10250, N6056, N49955, N36037, N6837, N22029, N48476, N1952, N11569, N40324, N62894, N58656, N5886, N47433, N16725, N43460, N31676, N28324, N34344, N4107
U10103: N13930, N18151, N9971, N46037, N20729, N57354, N23513, N57403, N34004, N1952, N58030, N11569, N53335, N35671, N60472, N36916, N3138, N2994, N49038, N28324
U10133: N16138, N46917, N47433, N43361, N34004, N63647, N44394, N15194, N55747, N46501, N28129, N46586, N21590, N279, N46915, N28072, N61973, N43822, N60472, N28324
U10152: N39184, N22977, N41640, N46037, N9724, N26781, N4290, N40451, N15559, N29322, N4923, N61970, N4649, N28281, N25015, N677, N47190, N26057, N34031, N28324
U1017: N409, N28324, N1952, N41285, N57764, N103, N9047, N6056, N49955, N43460, N57344, N62894, N11569, N62001, N40324, N38797, N2994, N33623, N53011, N43361
U10182: N23394, N54571, N51187, N40752, N58656, N9284, N28751, N28072, N47087, N6209, N57344, N279, N7173, N14170, N12330, N53011, N46915, N47433, N15559, N28324
U10185: N53877, N47652, N25163, N53011, N47370, N38490, N19444, N29930, N17510, N19057, N29363, N37007, N1344, N63390, N45017, N32196, N13498, N46915, N28324, N42196
U1019: N55723, N38294, N55555, N9846, N64228, N43386, N22483, N59981, N34495, N15838, N7112, N41640, N14170, N24458, N19536, N34031, N25837, N53011, N62393, N28324
