U10008: N16081, N28800, N34344, N44249, N31676, N44789, N11645, N50924, N49712, N6873, N39432, N3138, N27055, N53242, N35495, N46130, N61296, N43386, N61929, N38488
U10012: N15435, N18063, N21590, N15559, N58030, N23535, N55913, N10616, N46283, N24467, N63390, N29722, N50924, N59814, N3303, N31884, N42196, N11551, N22664, N50023
U10044: N54867, N47370, N1344, N30288, N61973, N47704, N16851, N48539, N47216, N37007, N35436, N46915, N1336, N28132, N51793, N39463, N58264, N53011, N40451, N24435
U10045: N58054, N14170, N59960, N308, N35671, N64184, N31373, N36288, N47216, N29920, N17778, N53728, N9538, N28091, N62318, N31782, N53013, N38797, N27738, N35051
U10050: N19661, N20764, N13498, N46037, N46917, N56051, N56459, N33929, N20576, N24686, N301, N47087, N34794, N4663, N9284, N5940, N42196, N51187, N28129, N18708
U10061: N60750, N47370, N24424, N16461, N54439, N3763, N38550, N15838, N27532, N59833, N30345, N39015, N14535, N19057, N22908, N53986, N1344, N52492, N40324, N41881
U10062: N32567, N20576, N38869, N51099, N54437, N47280, N25064, N51560, N59833, N47902, N17778, N28420, N28496, N49183, N30290, N19685, N53013, N16461, N64469, N31212
U10063: N20746, N1952, N53011, N25163, N53728, N16120, N11817, N35200, N29930, N15279, N28072, N61973, N21186, N12588, N23394, N29363, N30288, N55723, N41387, N40109
U10065: N6706, N22975, N59908, N34031, N52577, N58054, N47151, N37157, N24109, N60939, N29920, N61929, N62128, N36485, N35051, N10612, N20394, N2994, N46915, N9047
U10075: N57032, N63746, N59908, N2994, N30639, N39814, N38070, N50404, N16804, N59867, N19433, N46915, N3174, N7600, N9928, N56456, N2704, N11551, N7173, N30253
U10086: N10250, N49955, N6056, N36037, N40324, N62621, N22029, N48476, N1952, N28327, N11569, N3138, N25064, N35094, N6837, N62894, N33120, N30288, N31676, N5897
U10103: N13930, N9971, N18151, N46037, N35671, N20729, N57354, N23513, N34004, N11569, N58030, N7173, N51954, N35200, N9991, N21290, N53335, N60472, N53381, N31154
