U10008, iter_0: N19998, N33469, N59307, N8709, N32536, N61296, N60939, N17672, N28103, N17342, N33212, N32641, N58660, N38869, N34817, N48455, N4128, N27079, N20478, N31294
U10012, iter_0: N53013, N24467, N21590, N64077, N23918, N15559, N11551, N64372, N18063, N9971, N28072, N56456, N57888, N61970, N13640, N57034, N53308, N18312, N10869, N18295
U10044, iter_0: N53335, N1344, N28324, N46037, N4661, N279, N35252, N53910, N61970, N11551, N2994, N51187, N16461, N41400, N39399, N41172, N51099, N61623, N25163, N38797
U10045, iter_0: N37458, N29533, N61593, N15194, N62436, N24424, N39463, N38333, N53011, N53335, N28327, N35252, N31782, N35619, N11652, N62001, N4107, N49834, N31454, N29450
U10050, iter_0: N8711, N24424, N26762, N16914, N21142, N52588, N10541, N59908, N59960, N39463, N5734, N49834, N9135, N27906, N57180, N46037, N26537, N61970, N20764, N17936
U10061, iter_0: N7112, N59042, N36408, N59526, N27891, N19623, N11015, N33469, N50942, N53011, N23603, N4610, N52588, N53335, N61929, N51187, N60747, N59833, N35436, N31556
U10062, iter_0: N61970, N48084, N14170, N39184, N43646, N11289, N52588, N20576, N48077, N38869, N59960, N57225, N16461, N30536, N12843, N29217, N6578, N31014, N18151, N33326
U10062, iter_1: N20507, N36612, N23409, N58354, N31492, N46203, N20601, N35619, N20394, N16066, N26537, N11083, N13498, N50670, N5734, N52492, N58129, N62820, N51099, N60105
U10062, iter_2: N5940, N26831, N27702, N56890, N17513, N512, N38550, N18972, N44183, N61811, N12517, N28059, N21196, N25170, N62844, N25620, N49834, N43102, N60322, N63773
U10062, iter_3: N56132, N1371, N21312, N11681, N47652, N64744, N53986, N27318, N11015, N43438, N45793, N46783, N14809, N6532, N775, N13408, N19536, N15331, N50942, N36425
U10062, iter_4: N17234, N4610, N10612, N12613, N40728, N19623, N38915, N40451, N33297, N31294, N52577, N61241, N51187, N24701, N62894, N28640, N63390, N46037, N38898, N11092
U10063, iter_0: N1914, N35436, N33634, N31454, N23547, N37007, N22975, N49712, N53443, N29930, N12477, N62092, N18485, N62820, N46037, N17952, N18332, N8907, N15279, N39463
U10065, iter_0: N50670, N61466, N35619, N9734, N3138, N43438, N41498, N40670, N23918, N1477, N63681, N49973, N46037, N39463, N40356, N20947, N21142, N18151, N31492, N46203
