U10008, iter_0: N47868, N14964, N59257, N50831, N51552, N12999, N32038, N56645, N17115, N9944, N42167, N48730, N14354, N3116, N59577, N36777, N54113, N61296, N28275, N25133
U10012, iter_0: N53013, N24467, N21590, N64077, N23918, N15559, N11551, N64372, N18063, N9971, N28072, N56456, N57888, N61970, N13640, N57034, N53308, N18312, N10869, N18295
U10044, iter_0: N2235, N43646, N53335, N19477, N46084, N1344, N11652, N60472, N5519, N18485, N46441, N40221, N40575, N40985, N37346, N63681, N50670, N1860, N53011, N53515
U10045, iter_0: N37458, N29533, N61593, N15194, N62436, N24424, N39463, N38333, N53011, N53335, N28327, N35252, N31782, N35619, N11652, N62001, N4107, N49834, N31454, N29450
U10050, iter_0: N50058, N38733, N26762, N21142, N22575, N1371, N35619, N15331, N30614, N31289, N47652, N54437, N301, N17998, N39463, N64744, N18978, N33469, N5734, N58070
U10061, iter_0: N7112, N59042, N36408, N59526, N27891, N19623, N11015, N33469, N50942, N53011, N23603, N4610, N52588, N53335, N61929, N51187, N60747, N59833, N35436, N31556
U10062, iter_0: N61970, N5940, N62436, N43646, N19685, N46915, N11289, N52588, N46178, N36612, N26762, N58354, N46703, N31014, N18151, N33326, N46203, N20601, N9321, N20394
U10062, iter_1: N56132, N64801, N40119, N5513, N35381, N58345, N33273, N61929, N58748, N33828, N38869, N40836, N23489, N38550, N31063, N59960, N52520, N1957, N23657, N30944
U10062, iter_2: N29217, N40956, N50670, N47975, N58129, N57763, N52009, N29450, N47553, N1477, N36408, N3138, N53335, N9118, N46037, N32288, N45163, N53910, N53593, N17360
U10062, iter_3: N1684, N40886, N20576, N7129, N53223, N32277, N56473, N23611, N58969, N17234, N57225, N4610, N10612, N42628, N21219, N16461, N44183, N31868, N4047, N51008
U10062, iter_4: N23409, N39463, N35619, N4680, N26537, N24424, N5734, N53011, N52492, N29364, N62820, N64372, N51099, N56456, N18895, N1189, N30345, N30834, N26584, N21290
U10063, iter_0: N46037, N55723, N53335, N35252, N41400, N38797, N4661, N52835, N26488, N17510, N53910, N28324, N3416, N11551, N40468, N47433, N6056, N5886, N51099, N45754
U10065, iter_0: N59526, N29268, N1952, N56897, N50484, N11681, N50670, N61466, N35619, N9734, N32139, N60041, N3138, N40670, N43984, N23918, N1477, N63681, N62894, N4610
U10075, iter_0: N20576, N33469, N19433, N16725, N22975, N59908, N24424, N6578, N16577, N30288, N2704, N8162, N61296, N40221, N27079, N19004, N50775, N8709, N45017, N33326
U10086, iter_0: N2062, N45017, N38797, N6056, N41497, N48077, N9846, N59526, N35252, N34081, N22456, N45612, N8162, N36916, N8907, N41172, N13941, N63860, N20816, N3416
U10103, iter_0: N18151, N15194, N38053, N9971, N51581, N59908, N2649, N46203, N53168, N21290, N32239, N49878, N38556, N40670, N52492, N53728, N53011, N18332, N61593, N61466
U10103, iter_1: N33469, N58264, N6056, N4610, N53735, N1952, N19623, N54571, N11015, N6209, N1539, N25163, N11569, N33623, N13498, N43646, N40390, N64264, N35436, N32641
U10103, iter_2: N11083, N4107, N29920, N20507, N60105, N60472, N11551, N56347, N9734, N29930, N39298, N17360, N41387, N49038, N39932, N45163, N8162, N54587, N64077, N62393
