U10008: N31893, N49712, N34344, N28324, N33212, N30630, N17073, N19882, N6873, N61466, N32641, N2649, N19635, N11645, N37629, N25774, N3996, N1344, N31294, N44789
U10012: N9997, N63390, N53013, N61970, N27866, N14266, N383, N34672, N20576, N59067, N33469, N61466, N7600, N37587, N33147, N706, N64077, N21590, N23918, N11036
U10044: N39456, N20478, N43646, N28324, N19623, N59863, N49328, N4485, N47370, N48084, N35436, N31454, N44853, N28523, N65216, N60059, N10367, N2994, N61973, N40591
U10045: N24894, N29920, N37458, N28324, N14170, N58054, N40656, N38550, N19623, N18332, N61973, N39463, N29905, N28150, N51895, N27891, N24424, N39399, N48084, N2825
U10050: N27979, N42890, N16914, N28324, N47380, N50006, N59213, N18972, N9118, N50058, N53735, N20764, N28961, N10840, N41881, N26762, N52588, N46037, N54437, N56133
U10061: N43772, N7112, N52588, N28324, N38333, N60421, N34973, N25064, N49834, N59526, N19623, N39463, N50924, N15838, N33677, N59042, N53011, N51187, N61929, N4637
U10062: N2551, N33831, N52588, N28324, N47380, N17599, N37587, N51700, N59367, N5940, N48084, N26762, N23691, N45953, N30572, N62436, N53013, N16461, N46915, N36480
U10063: N59732, N33469, N45017, N28324, N33634, N32427, N18118, N25064, N1914, N35436, N46586, N46915, N62044, N14049, N17908, N22975, N8711, N46037, N35671, N4404
U10065: N48884, N8709, N20394, N28324, N29268, N57332, N54238, N32870, N59526, N50670, N32641, N35619, N33828, N54401, N12812, N1952, N13498, N46037, N30639, N61230
U10075: N11363, N21290, N16725, N28324, N33469, N39814, N36796, N7600, N16804, N23918, N53630, N3865, N45586, N60018, N24532, N51875, N50775, N51099, N56347, N14597
U10086: N26595, N7470, N9846, N28324, N33469, N46236, N48476, N18850, N5288, N41387, N48077, N43460, N28884, N48416, N48740, N35671, N45017, N38797, N48407, N4247
U10103: N41697, N6471, N34344, N28324, N14170, N47803, N16126, N51954, N15194, N53754, N775, N38053, N24675, N23513, N27063, N39463, N18151, N46037, N63390, N48740
U10133: N7674, N39184, N18295, N28324, N43955, N61567, N31373, N28203, N6916, N31884, N54571, N26057, N19632, N38371, N62880, N62033, N677, N11551, N7173, N39853
U10152: N26811, N39298, N37272, N28324, N4290, N59060, N21950, N7600, N706, N26057, N14809, N40670, N63793, N12403, N41670, N62207, N18295, N46037, N40451, N30273
U1017: N28805, N1952, N59908, N28324, N48407, N36243, N976, N6171, N16431, N42670, N33623, N24109, N54326, N39151, N31448, N46178, N28571, N51099, N56347, N49104
U10182: N12029, N11930, N45017, N28324, N36249, N7092, N34130, N57764, N49001, N48487, N1539, N41387, N22036, N57244, N20776, N63255, N8162, N44249, N301, N58553
U10185: N17647, N48084, N26537, N25163, N48077, N20136, N20056, N47906, N14990, N15194, N32196, N61466, N58617, N20270, N1495, N47652, N61296, N11551, N46915, N31849
U1019: N11627, N42223, N53011, N28324, N41640, N28539, N56313, N12156, N47216, N46441, N36689, N39463, N45666, N16851, N62355, N57972, N59908, N34031, N59526, N21719
U10191: N15269, N15194, N18151, N28324, N48407, N56051, N21292, N51587, N38142, N58030, N61973, N36249, N57560, N64594, N40493, N19025, N13498, N1344, N3138, N49180
U10195: N52286, N7568, N40221, N28324, N47902, N40326, N30722, N22731, N26762, N24617, N1091, N17936, N40973, N35340, N57367, N18332, N60472, N44249, N7173, N51009
U10201: N41717, N42622, N45612, N28324, N42890, N16445, N41675, N21313, N42223, N61973, N61241, N17952, N45500, N62673, N41979, N41221, N42196, N16461, N1189, N4215
U10218: N30606, N50484, N40575, N28324, N46283, N48597, N17115, N8137, N16477, N6532, N58070, N61466, N7600, N16568, N37531, N13408, N13640, N46037, N59526, N7094
U10233: N61754, N40906, N45017, N28324, N4610, N49586, N16851, N23675, N11569, N18332, N33623, N18485, N54315, N27932, N47576, N39463, N16725, N47433, N61973, N24435
U10239: N62049, N32288, N10541, N34031, N28152, N28539, N21513, N5370, N48084, N16066, N18978, N18350, N40973, N52742, N29772, N30536, N57180, N16461, N54437, N7634
U10259: N20015, N35447, N53308, N28324, N9971, N26518, N3678, N32531, N13628, N35436, N51867, N39463, N38080, N59814, N51195, N42890, N39109, N2994, N23682, N33738
U10265: N60520, N11652, N677, N28324, N46738, N5009, N56645, N58857, N35238, N7568, N61973, N47902, N33791, N46592, N50023, N59067, N24424, N1344, N35671, N39219
U10285: N11600, N41658, N62001, N28324, N27866, N38404, N52675, N60447, N22664, N54571, N41497, N63681, N4663, N57755, N57011, N26271, N53013, N43386, N41387, N8373
U10296: N11460, N1952, N13498, N28324, N11083, N49180, N22457, N61811, N46703, N40451, N33469, N36249, N51120, N22977, N9284, N43301, N33326, N38797, N3138, N63174
U1030: N46624, N1185, N8162, N28324, N14170, N1180, N39796, N2041, N5288, N27866, N30536, N20764, N61571, N20270, N39688, N41006, N13498, N11551, N33623, N14104
U10306: N37994, N15194, N62001, N28324, N47380, N62809, N53346, N9295, N48077, N5940, N32196, N56347, N24675, N37666, N11769, N557, N8162, N25163, N54439, N50054
U10311: N45509, N64273, N30288, N28324, N47902, N14726, N57344, N58857, N18312, N38142, N24213, N3138, N30648, N49328, N22257, N38915, N16914, N34031, N35671, N23816
U10332: N64801, N39463, N59960, N28324, N11652, N19694, N1450, N58857, N19477, N64183, N35436, N61466, N46407, N23513, N55633, N18332, N53011, N34031, N54439, N1110
U10338: N45912, N14170, N28983, N28324, N29722, N740, N16851, N40982, N31782, N33297, N48487, N61466, N24358, N63342, N4404, N64095, N24424, N39399, N19536, N36436
U10404: N46887, N62092, N28983, N28324, N33469, N19611, N49053, N58857, N1952, N34457, N64183, N26057, N57995, N52138, N56569, N19477, N43646, N39399, N61973, N47238
U1045: N9997, N34953, N56270, N28324, N57888, N34469, N34852, N34190, N57451, N33623, N26690, N32708, N34171, N35200, N57821, N3380, N4107, N46037, N36249, N34679
U10450: N25605, N28072, N45017, N28324, N57521, N37204, N63342, N56746, N64095, N47572, N14809, N3138, N37157, N14049, N16439, N49712, N29217, N5886, N31676, N944
U10451: N32053, N61973, N30288, N35252, N38915, N56681, N17115, N15051, N32641, N26057, N32489, N49712, N34225, N38371, N40085, N21290, N28103, N1344, N35671, N51552
U10455: N9276, N29369, N31556, N28324, N61241, N49929, N16854, N5695, N16577, N40906, N19536, N1667, N33315, N10840, N29128, N41006, N27553, N46037, N33623, N32005
