U10008: N31893, N49712, N34344, N2994, N61466, N37629, N17073, N19882, N6873, N25774, N52764, N3138, N11645, N19635, N32626, N38882, N3996, N21590, N31294, N30630
U10012: N9997, N63390, N53013, N11551, N706, N33147, N383, N34672, N20576, N59067, N27866, N40451, N7600, N37587, N14266, N24467, N21590, N64077, N23918, N11036
U10044: N39456, N20478, N43646, N1344, N48084, N59863, N49328, N4485, N47370, N19623, N32196, N53728, N28523, N44853, N65216, N60059, N53335, N40221, N61973, N40591
U10045: N24894, N29920, N37458, N28324, N14170, N58054, N40656, N38550, N19623, N18332, N61973, N39463, N28150, N29905, N51895, N27891, N24424, N39399, N48084, N2825
U10050: N27979, N42890, N8711, N61970, N54437, N50006, N59213, N18972, N9118, N47380, N50058, N20764, N10840, N28961, N41881, N26762, N16914, N46037, N301, N56133
U10061: N43772, N7112, N36408, N62393, N38333, N60421, N34973, N25064, N49834, N59526, N61593, N31289, N15838, N50924, N33677, N59042, N53011, N51187, N61929, N4637
U10062: N2551, N33831, N53013, N61970, N48084, N17599, N37587, N51700, N59367, N5940, N47380, N46915, N45953, N23691, N30572, N62436, N43646, N16461, N54437, N29009
U10063: N59732, N33469, N45017, N52835, N35671, N17908, N25064, N18118, N1914, N35436, N33634, N61973, N62044, N14049, N32427, N31454, N46037, N16725, N59526, N4404
U10065: N48884, N8709, N20394, N5886, N59526, N57332, N54238, N32870, N29268, N50670, N1952, N61466, N54401, N33828, N12812, N56897, N13498, N46037, N30639, N61230
U10075: N11363, N21290, N16725, N51099, N53630, N39814, N7600, N36796, N16804, N23918, N6371, N56347, N60018, N45586, N24532, N51875, N59908, N45754, N46915, N14597
U10086: N26595, N7470, N38797, N9846, N35671, N46236, N18850, N48476, N33469, N46703, N41387, N48407, N28884, N48416, N48740, N5288, N34081, N39399, N41497, N4247
U10103: N41697, N6471, N34344, N5886, N775, N47803, N51954, N16126, N15194, N14170, N38053, N63390, N24675, N23513, N27063, N39463, N18151, N46037, N3138, N23809
U10133: N7674, N39184, N21590, N60472, N26057, N61567, N31373, N28203, N6916, N31884, N43955, N7173, N19632, N38371, N62880, N62033, N11551, N64077, N7470, N27945
U10152: N26811, N39298, N18295, N61970, N40451, N59060, N21950, N7600, N4290, N26057, N706, N26792, N12403, N63793, N41670, N62207, N43646, N46037, N64469, N30273
U1017: N28805, N1952, N51099, N28571, N33623, N36243, N6171, N976, N16431, N42670, N56347, N48407, N54326, N39151, N31448, N46178, N59908, N52835, N40324, N49104
U10182: N12029, N11930, N33120, N33326, N41387, N7092, N57764, N34130, N49001, N48487, N36249, N301, N22036, N57244, N20776, N63255, N44249, N8162, N24458, N23767
U10185: N17647, N48084, N26537, N25163, N48077, N20136, N20056, N47906, N14990, N15194, N32196, N61466, N58617, N20270, N1495, N47652, N61296, N11551, N46915, N31849
U1019: N11627, N42223, N38797, N62393, N41640, N28539, N12156, N56313, N47216, N46441, N36689, N39463, N45666, N16851, N62355, N57972, N46037, N9846, N59526, N21719
U10191: N15269, N15194, N58264, N13498, N61973, N56051, N51587, N21292, N38142, N58030, N48407, N3138, N57560, N64594, N40493, N19025, N44249, N8162, N41387, N49180
U10195: N52286, N7568, N46037, N40221, N1091, N51009, N22731, N30722, N26762, N24617, N47902, N7173, N40973, N35340, N40326, N18332, N60472, N44249, N46915, N57367
U10201: N41717, N42622, N42196, N16461, N42223, N41979, N21313, N41675, N61973, N41221, N42890, N1189, N62673, N45500, N16445, N61951, N62170, N308, N61929, N16396
U10218: N30606, N50484, N2994, N40575, N61466, N30544, N17115, N8137, N46283, N16477, N6532, N46915, N7600, N16568, N48597, N58070, N26488, N34344, N59526, N37531
U10233: N61754, N40906, N6056, N4107, N4610, N49586, N23675, N16851, N11569, N18332, N33623, N18485, N54315, N27932, N47576, N39463, N53335, N8162, N61973, N24435
U10239: N62049, N32288, N10541, N34031, N28152, N28539, N21513, N5370, N48084, N16066, N53986, N15194, N52742, N40973, N29772, N30536, N64077, N36408, N18978, N7634
U10259: N20015, N35447, N2994, N53308, N51867, N51195, N32531, N3678, N9971, N35436, N13628, N10885, N38080, N59814, N36910, N42890, N58264, N8711, N23682, N26518
U10265: N60520, N11652, N677, N51187, N61973, N5009, N56645, N58857, N46738, N7568, N7112, N26057, N46592, N33791, N50023, N59067, N24424, N1344, N35671, N39219
U10285: N11600, N41658, N4661, N39932, N41497, N57011, N60447, N52675, N22664, N54571, N63681, N1091, N4663, N57755, N20577, N26271, N25163, N29217, N41387, N38404
U10296: N11460, N1952, N44249, N53011, N3138, N49180, N22457, N61811, N46703, N40451, N36249, N33469, N51120, N22977, N9284, N43301, N52835, N39932, N35671, N26485
U1030: N46624, N1185, N11551, N13498, N33623, N1180, N2041, N39796, N5288, N27866, N14170, N20764, N61571, N20270, N39688, N41006, N47433, N43646, N59526, N14104
U10306: N37994, N15194, N62001, N25163, N54439, N62809, N9295, N53346, N48077, N5940, N47380, N56347, N24675, N37666, N11769, N557, N8162, N51187, N48084, N50054
U10311: N45509, N64273, N11551, N30288, N35671, N22257, N58857, N57344, N47902, N38142, N24213, N3138, N30648, N49328, N14726, N18312, N55723, N13640, N54439, N23816
U10332: N64801, N39463, N53335, N53011, N54439, N1110, N1450, N58857, N19477, N64183, N11652, N59526, N23513, N46407, N19694, N18332, N34031, N60472, N48084, N55518
U10338: N45912, N14170, N28983, N39399, N19536, N4404, N40982, N16851, N31782, N33297, N29722, N48084, N24358, N63342, N740, N7568, N24424, N28324, N15194, N45804
U10404: N46887, N62092, N28983, N39399, N61973, N19611, N49053, N58857, N1952, N34457, N64183, N26057, N52138, N57995, N56569, N19477, N43646, N1344, N59526, N47238
U1045: N9997, N34953, N46037, N4107, N32708, N34469, N34190, N34852, N57888, N3380, N33623, N36249, N34171, N35200, N57821, N56471, N51187, N43361, N26690, N34653
U10450: N25605, N28072, N45017, N16461, N31676, N37204, N63342, N56746, N64095, N47572, N57521, N3138, N14049, N37157, N16439, N49712, N5886, N29217, N64469, N944
U10451: N32053, N61973, N30288, N35252, N38915, N56681, N15051, N17115, N32641, N26057, N52502, N47975, N34225, N38371, N40085, N49712, N40221, N1344, N35671, N51552
U10455: N9276, N29369, N27553, N17510, N19536, N49929, N16854, N5695, N61241, N41006, N33623, N1667, N10840, N33315, N29128, N40906, N31556, N46037, N7173, N32005
U10474: N48490, N25015, N15559, N36408, N4290, N51140, N50463, N4485, N48717, N41006, N28129, N26057, N27737, N45353, N51745, N28072, N49973, N51099, N39015, N50946
U10478: N58612, N47572, N61970, N62393, N57521, N20602, N21950, N62128, N58660, N26792, N33877, N26057, N53346, N6816, N43738, N557, N13640, N1344, N775, N13219
U10482: N40184, N52202, N41285, N1344, N54439, N20602, N23805, N5088, N1952, N33634, N4287, N56347, N11817, N3678, N52034, N46379, N13498, N46037, N59526, N38540
U10491: N41946, N47370, N59908, N51187, N30639, N61786, N20270, N63231, N2235, N32489, N39463, N301, N22726, N16806, N36436, N42670, N28281, N308, N63390, N55518
