U10008, iter_0: N42670, N1952, N60939, N54571, N15559, N26271, N14990, N6873, N7330, N18151, N29528, N61623, N58264, N38951, N19811, N29363, N46203, N6056, N11789, N7173
U10012, iter_0: N55531, N10541, N26537, N62393, N34081, N19477, N29217, N27532, N11289, N16725, N45612, N11041, N31556, N3841, N49712, N49878, N56434, N56270, N30288, N58129
U10044, iter_0: N60059, N53298, N47975, N34601, N58264, N21156, N29533, N26537, N53201, N6916, N53593, N18151, N47370, N26792, N62436, N40356, N11083, N15194, N1477, N18350
U10045, iter_0: N56434, N24424, N30118, N31782, N47553, N41285, N1477, N61466, N52776, N18571, N60599, N58354, N46130, N64077, N61969, N27553, N19477, N40324, N45612, N37007
U10050, iter_0: N20576, N59543, N47190, N41498, N58264, N56434, N42670, N6532, N36689, N17998, N27553, N58070, N40575, N8711, N31556, N18978, N52588, N11551, N48302, N63860
U10061, iter_0: N31782, N35619, N11652, N29533, N58354, N30401, N19477, N37007, N1914, N42223, N58656, N46130, N3007, N18332, N53443, N17936, N43361, N18485, N54014, N39298
U10062, iter_0: N50775, N38869, N18332, N26537, N4107, N43438, N9846, N50565, N43400, N20601, N47190, N19477, N2159, N57888, N20507, N29364, N61466, N3865, N53011, N42196
U10062, iter_1: N61318, N25334, N61061, N42433, N15043, N22595, N53484, N3451, N53248, N7173, N34041, N58609, N61902, N28978, N29578, N944, N64130, N6790, N23373, N54422
U10062, iter_2: N39463, N46130, N42877, N38333, N29722, N26057, N41387, N46441, N31492, N46037, N55397, N28072, N7568, N36408, N55531, N47975, N1344, N46915, N1667, N20764
U10062, iter_3: N25605, N1796, N51187, N57484, N64469, N19614, N24017, N47848, N52577, N45523, N29354, N19623, N41596, N9196, N60531, N62089, N16439, N4205, N60035, N428
U10062, iter_4: N57403, N60472, N20394, N5519, N18291, N40221, N41006, N53013, N43822, N11289, N55229, N64372, N18295, N52492, N32073, N39932, N63546, N27553, N8162, N45017
U10063, iter_0: N19477, N47370, N53001, N18485, N29450, N49001, N38053, N24458, N53201, N11083, N8162, N34004, N38333, N31978, N24109, N23409, N24467, N14170, N55555, N46738
U10065, iter_0: N1667, N43438, N62170, N34081, N50670, N20394, N32708, N53443, N40221, N52776, N23918, N8162, N29217, N63681, N56347, N49712, N59067, N52492, N40324, N10541
U10075, iter_0: N57403, N25130, N58129, N20478, N10541, N11041, N42499, N38901, N6371, N59526, N51867, N11675, N19025, N48084, N4290, N28800, N30288, N1952, N39184, N8709
U10086, iter_0: N308, N11551, N40906, N38311, N58264, N31395, N21590, N3416, N26488, N59385, N24109, N52492, N4661, N54587, N1067, N18063, N18132, N64606, N40752, N8162
U10103, iter_0: N18978, N28725, N1663, N29533, N49712, N38915, N35725, N9118, N38053, N62033, N51875, N59833, N23602, N61973, N15194, N26271, N53593, N50657, N32393, N23409
U10103, iter_1: N35147, N36288, N12588, N60130, N55977, N37261, N59142, N55123, N14726, N31299, N8047, N6171, N31958, N20963, N30436, N38368, N16300, N28289, N43491, N16120
U10103, iter_2: N40221, N34457, N2159, N13640, N46203, N38797, N29920, N45163, N61623, N43438, N18295, N2649, N3007, N11551, N4857, N17936, N16431, N21590, N5085, N58656
U10103, iter_3: N35991, N50076, N31917, N20267, N11645, N51486, N44621, N18291, N42604, N43887, N1344, N44166, N43932, N45095, N4089, N21030, N33791, N49191, N55747, N45294
U10103, iter_4: N55555, N29364, N53364, N31454, N11015, N7017, N9527, N41640, N56347, N42655, N32641, N31676, N13865, N4556, N64606, N54018, N42670, N8306, N23918, N38733
U10133, iter_0: N60105, N56675, N7657, N51489, N4510, N25457, N39679, N10876, N47433, N2041, N7792, N524, N24754, N570, N12843, N57700, N51133, N29462, N44556, N50023
U10133, iter_1: N57521, N16725, N56211, N14333, N38869, N36689, N34953, N50657, N24213, N15559, N26048, N4556, N60264, N41497, N13640, N45760, N37272, N42196, N49878, N28983
U10133, iter_2: N51187, N39298, N3007, N18350, N23184, N37553, N3138, N18295, N49712, N61593, N11083, N29722, N11551, N5886, N2235, N34004, N16461, N38053, N21590, N6916
U10152, iter_0: N34457, N61970, N2235, N19477, N60472, N38333, N20601, N45017, N18332, N11551, N8162, N31782, N36408, N59908, N39109, N26488, N50775, N46037, N40221, N1344
U1017, iter_0: N40221, N7568, N38869, N11931, N29722, N44166, N41285, N11551, N62750, N1344, N3996, N2994, N13640, N18332, N24275, N3865, N46037, N5519, N28571, N39932
U10182, iter_0: N48487, N59022, N64095, N6056, N54571, N59960, N35671, N28983, N15559, N17672, N31978, N48077, N44249, N55723, N20576, N64273, N47433, N39399, N60550, N59981
U10182, iter_1: N36249, N61760, N32221, N64606, N52835, N47902, N18312, N42877, N64372, N26584, N40221, N40752, N30288, N42196, N60105, N27553, N20331, N16725, N18151, N37146
U10182, iter_2: N17510, N3416, N33120, N18295, N44645, N61040, N1575, N677, N52776, N64954, N56217, N61472, N52098, N63546, N52201, N11041, N41498, N57403, N49878, N52588
U10185, iter_0: N30288, N11551, N11931, N2994, N2704, N16461, N43386, N279, N52588, N1344, N25163, N43438, N10541, N49878, N42196, N53013, N58264, N61296, N50775, N38869
U10185, iter_1: N55303, N1364, N30614, N33121, N45001, N27545, N55747, N48015, N48703, N51009, N60421, N7965, N16628, N33957, N24434, N6664, N14990, N9295, N59263, N35418
U10185, iter_2: N56270, N34031, N46037, N62393, N43822, N53011, N41400, N47190, N34081, N5886, N43361, N13640, N22985, N41285, N33326, N55723, N45612, N8711, N44166, N11041
U1019, iter_0: N308, N18151, N11289, N48077, N41172, N43386, N47206, N1539, N48487, N54439, N38797, N14170, N57521, N6056, N25130, N39399, N59367, N63546, N31978, N64095
U10191, iter_0: N16461, N1344, N51187, N52835, N44249, N58264, N46037, N11551, N308, N6056, N17510, N5886, N33120, N4661, N25163, N53335, N34031, N36408, N59385, N55723
U10195, iter_0: N16066, N18485, N49973, N30401, N41113, N26537, N28983, N27906, N16914, N38882, N37346, N21290, N38333, N5940, N58414, N46178, N3007, N42223, N53515, N49878
U10201, iter_0: N53335, N28983, N26488, N59960, N61623, N6056, N46203, N62393, N11551, N2994, N3416, N8711, N42196, N21681, N52492, N11289, N25163, N41400, N34081, N55723
U10201, iter_1: N3007, N36916, N24109, N29363, N19623, N5085, N48084, N35671, N7826, N32641, N59367, N54571, N29627, N61363, N33623, N20507, N18485, N38504, N14170, N20984
U10201, iter_2: N45353, N39814, N31917, N63356, N49831, N13599, N15194, N19459, N47412, N22726, N58098, N7928, N60322, N6790, N59375, N15880, N59841, N58205, N34004, N26649
U10218, iter_0: N58030, N26537, N27906, N26488, N16725, N21590, N11289, N43822, N49955, N58354, N34081, N18295, N61363, N62393, N62750, N60472, N18063, N53013, N3138, N30288
U10233, iter_0: N28983, N51187, N58264, N53013, N52588, N17510, N37346, N31556, N41285, N30288, N16461, N8162, N27553, N59960, N31179, N28571, N24424, N6056, N15559, N53011
U10233, iter_1: N11569, N3007, N26262, N37007, N48077, N47652, N5940, N1952, N47380, N15194, N59367, N31978, N27532, N40906, N38797, N29364, N55555, N52577, N7826, N1539
U10233, iter_2: N20413, N9971, N49001, N3416, N1067, N19477, N53201, N55723, N53728, N29450, N25163, N28324, N41172, N38504, N308, N279, N24458, N26781, N12477, N7470
U10233, iter_3: N40973, N5669, N53349, N10388, N41626, N16953, N7092, N54960, N56523, N16628, N9538, N13729, N25064, N63084, N45417, N21030, N57367, N25107, N61595, N60663
U10233, iter_4: N31289, N11551, N32196, N6371, N32641, N35671, N48487, N63255, N5886, N52776, N37146, N16914, N58129, N8711, N775, N62001, N46917, N31014, N49038, N18571
U10239, iter_0: N31289, N50058, N2159, N39015, N26063, N28983, N38898, N47652, N56211, N34031, N17778, N59367, N42890, N43361, N11551, N59833, N677, N40468, N21681, N51867
U10259, iter_0: N11931, N12843, N28983, N57403, N16914, N31939, N7961, N31556, N11675, N27079, N47380, N27906, N53013, N13347, N34668, N56434, N53011, N51690, N50657, N29217
U10265, iter_0: N34081, N8162, N18485, N30401, N9846, N30288, N41113, N31556, N62170, N29920, N46178, N16914, N20764, N62001, N58354, N31782, N53013, N11931, N47553, N308
U10285, iter_0: N11681, N41658, N6873, N37458, N29363, N21681, N48077, N16725, N10008, N42670, N22975, N31556, N56270, N58129, N43246, N6471, N46738, N30562, N26537, N59543
U10296, iter_0: N17952, N36249, N55723, N28983, N30401, N11092, N20236, N11289, N33831, N53011, N37272, N57180, N56217, N3007, N31782, N14252, N52588, N53910, N18571, N28324
U1030, iter_0: N54136, N55723, N677, N28129, N33623, N39184, N28800, N52835, N11944, N59981, N54571, N13498, N52577, N43386, N34953, N59960, N4034, N42196, N42499, N13640
U1030, iter_1: N38053, N56456, N64606, N30345, N11551, N47190, N51690, N42877, N6056, N7947, N16725, N17510, N15559, N4857, N60472, N56270, N51875, N37500, N46037, N30288
U1030, iter_2: N37146, N1575, N61472, N2159, N34344, N61040, N18291, N8711, N24424, N2704, N22985, N8162, N56217, N52492, N58129, N43822, N41400, N53011, N34031, N57034
U1030, iter_3: N39204, N32053, N38490, N26652, N8012, N51816, N32646, N11940, N51253, N10197, N18995, N44422, N27945, N41737, N30724, N9139, N15194, N59337, N45479, N7443
U1030, iter_4: N51282, N28895, N29354, N63364, N50607, N51092, N32986, N24754, N44556, N57211, N48096, N9805, N27832, N45888, N30572, N40184, N27342, N57359, N44855, N59317
U10306, iter_0: N1663, N14809, N46783, N45017, N5288, N24275, N33212, N52577, N64183, N59833, N5886, N706, N19998, N50372, N39399, N13640, N38869, N59981, N46917, N60192
U10306, iter_1: N55555, N15194, N20507, N1914, N4661, N8162, N11551, N38797, N58264, N2649, N2994, N44249, N24458, N50670, N308, N40221, N53013, N46501, N40985, N3841
U10306, iter_2: N53346, N43222, N22417, N63415, N3268, N35067, N53615, N27905, N26915, N19040, N28203, N48487, N51187, N32295, N1106, N29363, N63014, N33791, N25124, N11940
U10306, iter_3: N62104, N16741, N31704, N52939, N62805, N23805, N17161, N24358, N22855, N33474, N41717, N26878, N36332, N47737, N38882, N55253, N20072, N6312, N57426, N39907
U10306, iter_4: N4290, N50484, N35857, N41547, N57521, N27079, N4128, N59685, N7826, N33469, N20576, N54571, N50565, N32196, N35238, N7173, N22456, N62423, N14333, N48077
U10311, iter_0: N6873, N64335, N21590, N44249, N63255, N18145, N59022, N34031, N58264, N32073, N17510, N3416, N36408, N37272, N48084, N30288, N20984, N44645, N33486, N44417
U10332, iter_0: N18295, N19477, N30118, N18485, N47370, N18332, N5085, N59653, N37007, N39463, N31782, N53335, N1344, N29533, N50565, N26762, N55531, N37146, N57888, N9409
