U10008, iter_0: N42670, N60939, N15559, N14990, N6873, N18151, N29528, N61623, N58264, N46203, N6056, N60550, N56804, N58660, N15279, N42196, N26063, N28129, N59042, N34344
U10012, iter_0: N36689, N10541, N26537, N56132, N62393, N34081, N14990, N29217, N35671, N11289, N16725, N27079, N45612, N11041, N31556, N49878, N28129, N46917, N706, N56434
U10044, iter_0: N26537, N43822, N27906, N18291, N57403, N11041, N11289, N52776, N29217, N24424, N53011, N18571, N2159, N10541, N42196, N59960, N27553, N62393, N56217, N12330
U10045, iter_0: N41658, N64264, N35238, N30929, N12843, N6209, N47553, N61973, N16680, N34668, N48049, N27079, N13941, N19623, N42622, N47652, N38951, N35671, N19477, N45960
U10050, iter_0: N31395, N9135, N47190, N41498, N58264, N23409, N56434, N42877, N1477, N20507, N3007, N46130, N27553, N40575, N8711, N31556, N52588, N11551, N18485, N49973
U10061, iter_0: N31782, N35619, N11652, N30401, N37007, N1914, N42223, N3007, N53443, N17936, N43361, N18485, N39298, N28983, N1344, N60059, N29920, N38333, N39463, N52299
U10062, iter_0: N51187, N47572, N18332, N20601, N38333, N19477, N34031, N57888, N20507, N61466, N3865, N1914, N31492, N46037, N15194, N279, N49001, N61970, N55397, N7568
U10062, iter_1: N60041, N20576, N64469, N7173, N26537, N14809, N20394, N32641, N52577, N33297, N9846, N60264, N48084, N301, N37146, N60035, N31939, N62423, N52929, N5576
U10062, iter_2: N50775, N50565, N43822, N11289, N55229, N18295, N39932, N28072, N55531, N64954, N49878, N37458, N44645, N28571, N37346, N3007, N32288, N16461, N46084, N59960
U10062, iter_3: N27928, N61061, N48729, N1768, N3451, N28978, N23805, N64130, N11186, N64326, N62128, N3606, N9196, N14049, N1837, N31624, N64808, N33929, N51700, N28059
U10062, iter_4: N19623, N5519, N56132, N23918, N12682, N26057, N41387, N46441, N29364, N6916, N24617, N48049, N27532, N47975, N27866, N37007, N1667, N25015, N47652, N26762
U10063, iter_0: N19477, N47370, N29450, N49001, N38053, N11551, N53201, N8162, N34004, N38333, N24109, N24467, N39399, N55555, N47433, N11652, N37007, N21590, N38797, N62750
U10065, iter_0: N1667, N43438, N62170, N34081, N20394, N50565, N40221, N56804, N52776, N27553, N23918, N8162, N29217, N63681, N56347, N49712, N59067, N46203, N52492, N10541
U10075, iter_0: N57403, N58129, N10541, N11041, N51867, N30288, N1952, N39184, N8709, N20394, N59960, N38142, N28571, N61973, N45612, N775, N19623, N11092, N36037, N31884
U10086, iter_0: N50372, N19536, N308, N64273, N436, N11551, N21590, N26488, N49252, N31978, N59367, N52492, N4661, N8162, N58070, N62894, N41400, N279, N28983, N30562
