U10008: N28855, N59526, N2235, N11551, N1508, N26139, N34492, N42670, N24109, N3841, N54571, N15559, N18151, N61623, N19811, N56804, N34344, N9409, N2994, N28324
U10012: N11681, N33240, N4107, N11551, N29578, N6916, N22731, N26762, N60105, N40470, N36689, N10541, N48077, N14170, N34081, N29217, N6056, N32288, N5886, N28324
U10044: N23132, N1952, N5886, N29217, N29722, N46069, N35725, N54439, N59415, N23513, N21290, N53298, N48077, N58264, N1344, N26537, N43822, N42196, N41387, N28324
U10045: N52492, N63627, N30118, N16461, N26537, N7799, N18978, N39463, N23657, N4107, N20325, N41658, N7010, N61973, N61466, N8162, N5519, N21590, N36408, N28324
U10050: N30288, N60848, N40078, N11551, N39456, N3318, N38381, N11789, N39463, N59543, N38901, N9135, N47190, N41498, N58264, N36689, N40324, N43361, N2994, N28324
U10061: N23513, N8375, N11652, N2994, N55259, N38131, N49688, N31782, N4610, N62033, N37007, N24275, N43361, N53630, N1344, N30288, N56347, N4661, N47190, N28324
U10062: N18975, N13498, N46130, N46037, N51489, N51424, N56746, N11961, N27079, N50775, N39463, N51187, N64469, N60472, N14809, N4107, N42877, N26057, N279, N28324
U10063: N34055, N19477, N59526, N8162, N39814, N43478, N55723, N1450, N53001, N18485, N24458, N11551, N57521, N11569, N38333, N21590, N37346, N28983, N28324, N15559
U10065: N47151, N1952, N1667, N2994, N44528, N52588, N3918, N60531, N62170, N19536, N12477, N57919, N19433, N32708, N8162, N56347, N49038, N26488, N41400, N28324
U10075: N51187, N17973, N20478, N29217, N5880, N60222, N37783, N57403, N20764, N25130, N30401, N29722, N10541, N38901, N59526, N51875, N53910, N62393, N308, N28324
U10086: N41387, N483, N50372, N52492, N23535, N28934, N23547, N56966, N19536, N308, N33469, N40906, N58264, N21590, N54587, N40752, N8162, N1539, N15559, N28324
U10103: N11083, N3836, N40221, N58264, N19292, N5655, N52675, N18978, N28725, N1663, N52588, N35725, N51875, N61973, N38797, N56347, N60472, N2994, N15559, N28324
U10133: N22855, N48049, N47433, N16725, N3313, N15066, N60105, N12843, N10869, N23513, N57521, N51187, N3007, N53728, N36689, N4661, N15559, N18295, N47190, N28324
U10152: N36568, N15559, N34457, N61970, N5897, N1450, N2235, N57764, N38142, N40451, N24213, N60472, N38333, N34805, N45017, N11551, N40221, N21590, N61466, N28324
U1017: N2659, N39109, N16804, N11551, N10472, N1952, N16954, N3268, N19685, N40221, N279, N29722, N21290, N30562, N31294, N2994, N41387, N39932, N64077, N28324
U10182: N54966, N1539, N6056, N15559, N61811, N55943, N48487, N59022, N15811, N36249, N54164, N59960, N35671, N33831, N44249, N47433, N41387, N64372, N29217, N28324
U10185: N50023, N18485, N16914, N2994, N11622, N7010, N46586, N23657, N30614, N30288, N8889, N35436, N11551, N26762, N279, N19536, N42196, N40324, N60472, N28324
U1019: N26953, N1952, N308, N11289, N45479, N60018, N58656, N54066, N28072, N18151, N48077, N60105, N41172, N47206, N54439, N32288, N2994, N62393, N8162, N28324
U10191: N10876, N31289, N60472, N58264, N55279, N11817, N12800, N7568, N51867, N5576, N23603, N40752, N16461, N42877, N30834, N51187, N53013, N15559, N23682, N28324
U10195: N60975, N44417, N27906, N41400, N15336, N54315, N33078, N4610, N16066, N18485, N49973, N30401, N18145, N7173, N25163, N28420, N34344, N42196, N26488, N28324
U10201: N7010, N35619, N46586, N62393, N36933, N57264, N38070, N53335, N27891, N3007, N40356, N28983, N36916, N61973, N11551, N2994, N8711, N53011, N9409, N28324
U10218: N53284, N37589, N27906, N38797, N28289, N10050, N59067, N14170, N22726, N53515, N4661, N58030, N26537, N26130, N21590, N4556, N62393, N60472, N3138, N28324
U10233: N50029, N39463, N28983, N11551, N42433, N1790, N44897, N11569, N18485, N50372, N26262, N48077, N61973, N51187, N58264, N53013, N8162, N15559, N53728, N28324
U10239: N44305, N42196, N26690, N34031, N37553, N64490, N1957, N29952, N56459, N11359, N31014, N31492, N39015, N28983, N23682, N28152, N11551, N40468, N29217, N28324
U10259: N38263, N1952, N41285, N39399, N8047, N31341, N5519, N1837, N1477, N36689, N40752, N3007, N11675, N33469, N40324, N53011, N42196, N61970, N44249, N28324
U10265: N60750, N28420, N34081, N308, N21983, N25669, N60960, N8162, N18485, N30401, N19998, N31556, N19433, N65103, N47553, N19536, N43361, N26488, N21590, N28324
U10285: N37261, N31395, N34031, N4107, N18708, N26415, N37101, N56347, N11681, N9971, N41658, N6873, N37458, N15194, N43386, N56270, N279, N29217, N27738, N28324
U10296: N43301, N56969, N64954, N28324, N32288, N43974, N21681, N44249, N51133, N53322, N19536, N17952, N36249, N18978, N55723, N39184, N35238, N53011, N16461, N49038
U1030: N30372, N55723, N15194, N13498, N42112, N41176, N7181, N54136, N677, N28448, N23184, N28129, N33623, N25130, N52835, N47433, N26057, N42196, N47190, N28324
U10306: N48403, N36408, N55555, N13640, N38697, N49046, N28800, N25064, N38053, N14809, N45017, N4290, N52577, N28072, N5886, N39399, N8162, N24458, N4107, N28324
U10311: N30049, N5734, N6873, N30288, N6712, N15296, N5886, N20270, N64335, N63255, N36249, N3841, N58264, N32073, N41387, N35671, N11551, N49038, N47190, N28324
U10332: N46178, N43222, N9846, N1344, N39189, N1450, N23602, N28496, N18485, N62423, N4610, N37007, N53335, N50565, N9409, N35671, N59908, N64077, N25163, N28324
U10338: N19292, N60472, N22975, N47572, N22117, N15672, N35340, N54439, N1067, N42499, N49712, N48077, N11289, N4107, N52835, N21681, N308, N61970, N61466, N28324
U10404: N55421, N1663, N56217, N11551, N4265, N37458, N2035, N58354, N28327, N48261, N29363, N51187, N24109, N42196, N14170, N61973, N17510, N8162, N24458, N28324
U1045: N7041, N11551, N41387, N6578, N34750, N4118, N28895, N28072, N3996, N29363, N47087, N41172, N24467, N4290, N33623, N15559, N51187, N13640, N60472, N28324
U10450: N55221, N26781, N308, N9846, N39151, N40152, N27342, N23602, N1539, N15194, N43438, N40451, N30562, N63681, N279, N2994, N53011, N64077, N41387, N28324
