U10008: N1508, N59526, N18151, N11551, N24109, N26139, N28855, N34492, N42670, N3841, N21290, N7173, N24358, N37587, N44203, N1952, N15559, N47433, N62092, N13930
U10012: N29578, N6916, N4107, N11551, N26762, N26135, N22731, N40470, N11681, N60105, N36689, N55531, N34044, N9936, N33240, N20478, N62393, N5886, N48077, N9959
U10044: N23132, N1952, N5886, N29217, N54439, N35609, N59415, N23513, N29722, N35725, N53298, N48084, N11269, N52329, N46069, N21290, N58264, N53011, N4556, N33056
U10045: N63627, N39463, N26537, N16461, N61973, N7799, N23657, N7010, N18978, N30118, N41658, N61466, N44897, N29905, N52286, N31782, N52492, N46037, N35671, N42433
U10050: N60848, N40078, N30288, N11551, N36689, N39456, N3318, N38381, N11789, N31395, N38901, N40324, N34852, N9719, N7092, N39463, N47190, N58264, N54437, N27110
U10061: N55259, N31782, N43361, N1344, N62033, N38131, N23513, N49688, N8375, N11652, N31289, N56347, N9538, N7010, N29036, N35619, N30288, N38797, N53630, N54615
U10062: N18975, N39463, N50775, N46037, N64469, N11961, N51424, N56746, N51489, N46130, N7173, N42877, N4485, N4119, N42365, N47572, N38869, N1344, N52577, N30553
U10063: N39814, N53001, N11551, N37346, N59526, N43872, N34055, N1450, N19477, N57521, N24458, N11569, N30835, N26915, N43478, N47370, N8162, N21590, N30639, N32731
U10065: N44528, N1667, N52588, N2994, N19536, N3918, N47151, N57919, N1952, N50670, N60531, N56347, N36416, N19882, N32527, N12477, N62170, N41400, N59526, N20603
U10075: N17973, N25130, N10541, N308, N20764, N60222, N5880, N37783, N30401, N42499, N29722, N59526, N39151, N4485, N43772, N20478, N51187, N29217, N51867, N38201
U10086: N23535, N41387, N308, N52492, N23547, N832, N483, N56966, N50372, N40906, N19536, N54587, N64858, N30725, N28934, N64273, N11551, N41285, N40324, N54066
U10103: N3836, N11083, N40221, N58264, N61973, N5655, N19292, N52675, N18978, N28725, N35725, N56347, N44897, N59277, N51745, N29533, N27553, N38797, N36689, N56075
U10133: N22855, N48049, N47433, N16725, N53728, N3313, N15066, N23513, N60105, N51489, N12843, N3138, N34044, N40941, N60300, N57521, N51187, N38869, N36689, N11864
U10152: N36568, N34457, N15559, N61970, N24213, N5897, N1450, N57764, N2235, N40451, N5085, N31884, N20056, N45500, N584, N21156, N60472, N21590, N7173, N8361
U1017: N2659, N1952, N40221, N11551, N31294, N60900, N16954, N3268, N16804, N19685, N29722, N36689, N19057, N7010, N10472, N7568, N11931, N1344, N41387, N47213
U10182: N54966, N1539, N6056, N15559, N48487, N56051, N61811, N54164, N59022, N36249, N54571, N41387, N48350, N20215, N42457, N64095, N44249, N42196, N33831, N55943
U10185: N50023, N18485, N16914, N2994, N19536, N11622, N7010, N23657, N46586, N47975, N30614, N40324, N55747, N33957, N60750, N8889, N30288, N11551, N61973, N63421
U1019: N26953, N1952, N308, N11289, N54439, N496, N45479, N60018, N58656, N48077, N28072, N31676, N9621, N60085, N11546, N50372, N43386, N63546, N32288, N54066
U10191: N10876, N31289, N60472, N58264, N51867, N32053, N11817, N12800, N7568, N5576, N30834, N52577, N2624, N22457, N55279, N18063, N16461, N53013, N48084, N35045
U10195: N60975, N44417, N27906, N41400, N7173, N51552, N54315, N33078, N34668, N16066, N4610, N28420, N18972, N25673, N3216, N58251, N37346, N46037, N61973, N64037
U10201: N36933, N35619, N62393, N11551, N46586, N57264, N7010, N38070, N29533, N36916, N3007, N61973, N65025, N19459, N32639, N40356, N53335, N8711, N48084, N2844
U10218: N53284, N37589, N27906, N38797, N4556, N43580, N28289, N22726, N59067, N14170, N58030, N3293, N61571, N54988, N10050, N53515, N4661, N62393, N26130, N50514
U10233: N50029, N39463, N28983, N11551, N61973, N42433, N1790, N44897, N21290, N50372, N18485, N61929, N40973, N53349, N32945, N3007, N58264, N8162, N48084, N7928
U10239: N44305, N26690, N42196, N34031, N29952, N14615, N1957, N56459, N37553, N42670, N39015, N28152, N45479, N35381, N64490, N39463, N28983, N11551, N23682, N49335
U10259: N38263, N1952, N41285, N39399, N36689, N62212, N31341, N1837, N49609, N5519, N3007, N7173, N30222, N41548, N8047, N20507, N11931, N61970, N40324, N46887
U10265: N60750, N28420, N34081, N308, N30401, N16628, N21983, N60960, N18485, N19998, N65103, N20764, N33474, N45317, N25669, N58251, N8162, N21590, N19536, N36910
U10285: N37261, N31395, N34031, N4107, N6873, N18708, N26415, N37101, N56347, N11681, N9971, N29363, N33315, N54401, N3969, N63681, N37458, N43386, N41387, N22825
U10296: N56969, N43301, N64954, N28324, N17952, N52438, N43974, N53322, N32288, N18978, N36249, N39184, N61811, N40941, N16990, N30401, N44249, N53011, N19536, N51133
U1030: N30372, N15194, N55723, N13498, N33623, N41176, N42112, N7181, N54136, N28448, N28129, N26057, N30818, N37381, N4700, N49252, N52835, N42196, N60105, N60507
U10306: N48403, N38053, N5886, N8162, N52577, N38697, N49046, N25064, N28800, N55555, N4290, N24458, N40941, N20510, N51104, N15194, N36408, N13640, N64469, N14605
U10311: N6712, N6873, N5886, N32073, N41387, N15296, N30049, N20270, N5734, N64335, N3841, N35671, N1790, N28275, N22348, N63255, N21590, N49038, N60105, N18774
U10332: N43222, N46178, N9846, N1344, N9409, N21679, N1450, N28496, N23602, N18485, N62423, N41387, N15481, N7600, N39189, N19025, N18295, N46037, N35671, N49634
U10338: N22117, N47572, N60472, N61970, N54439, N15672, N19292, N35340, N22975, N1067, N42499, N61466, N39003, N64808, N64958, N54587, N11289, N36408, N61973, N31192
U10404: N55421, N1663, N56217, N11551, N61973, N12831, N2035, N48261, N58354, N29363, N24109, N29627, N4089, N60085, N4265, N28327, N37458, N51187, N59526, N43530
U1045: N34750, N41387, N11551, N3996, N28072, N39602, N7041, N28895, N6578, N47087, N4290, N3138, N48476, N3516, N29830, N24467, N308, N15559, N33212, N4118
U10450: N55221, N26781, N308, N9846, N40451, N40152, N39151, N27342, N23602, N15194, N1539, N41387, N1768, N37783, N1774, N7470, N2994, N53011, N775, N42894
U10451: N25256, N42223, N40221, N16461, N51867, N51009, N12588, N48887, N44640, N53443, N61973, N9971, N36459, N65025, N29490, N28725, N29217, N34031, N23682, N56711
U10455: N7584, N1477, N13347, N1344, N36689, N24386, N428, N4485, N20325, N56347, N35238, N1667, N3318, N64462, N38461, N40078, N57403, N16461, N7173, N23593
U10474: N25605, N47370, N34081, N46037, N53381, N4700, N52295, N27869, N39149, N18312, N42499, N56347, N2728, N64120, N4025, N23184, N2159, N39399, N19536, N30108
U10478: N584, N5085, N15559, N35252, N38333, N63627, N6979, N9371, N28800, N15194, N40451, N3007, N7041, N25064, N5472, N23184, N13640, N16461, N7173, N61429
U10482: N32806, N17936, N61296, N4661, N61466, N43222, N6066, N51896, N11359, N29722, N58251, N3138, N1353, N37157, N62260, N18145, N51690, N41400, N61973, N29534
U10491: N57327, N59067, N11551, N15559, N42622, N5897, N64120, N19050, N23603, N41387, N35436, N55531, N3517, N32548, N30466, N15279, N1344, N30288, N19536, N55303
U10507: N9420, N26792, N61970, N49878, N48084, N1006, N64594, N21437, N20478, N11083, N65103, N20764, N20056, N56746, N58969, N19477, N46037, N37346, N54439, N23407
U10516: N48448, N1477, N4107, N11551, N51489, N44789, N44897, N20267, N59833, N39463, N7173, N11083, N64120, N49892, N32053, N11681, N55229, N46037, N36689, N19001
U10524: N28569, N48084, N28983, N46037, N3007, N55943, N49082, N24272, N23184, N35436, N46586, N41387, N60663, N26415, N58054, N50657, N8162, N34031, N61466, N61740
U1053: N23807, N15194, N58264, N8711, N19536, N40768, N36288, N62673, N1663, N52299, N14809, N32288, N47916, N1768, N29497, N38333, N16461, N24275, N61973, N11572
U10585: N10522, N6371, N8162, N51187, N48084, N2592, N38070, N31341, N19477, N32641, N6873, N40324, N27499, N54442, N43222, N39463, N38869, N1344, N61973, N16081
U10604: N52286, N19477, N1344, N40221, N35671, N2458, N4485, N7181, N30929, N3007, N59367, N32288, N23513, N31917, N2636, N47370, N2994, N43361, N7112, N57049
U10611: N34035, N40078, N16461, N15559, N20576, N15492, N34709, N34130, N35436, N2235, N19536, N43460, N27342, N20270, N42224, N57521, N40752, N28324, N27532, N36568
U10635: N12300, N27079, N5886, N8162, N7173, N57187, N39151, N37793, N54571, N51875, N39184, N3138, N52675, N43143, N9284, N55397, N45017, N44249, N53381, N52129
U10674: N17405, N43460, N61970, N60472, N24458, N16120, N4649, N23513, N27079, N37055, N19433, N23682, N36288, N57000, N8047, N6916, N61296, N39399, N36689, N3089
